timestamp,dataset,index,config,param,queries,k,recall,p50_ms,p95_ms,p99_ms,qps,build_s,settle_s,heap_total_mib,vectors_mib,index_mib,disk_mib,notes
2026-08-07T21:30:36+02:00,dbpedia-openai-1000k-angular.bin,rq-hnsw-window,"rq8 build=192 query=192 centered window-search",320,10000,10,0.8811,1.040,1.393,1.507,957.37,123.8,0.0,807.6,196.4,197.5,0.0,"ef=128"
2026-08-07T21:30:46+02:00,dbpedia-openai-1000k-angular.bin,rq-hnsw-window,"rq8 build=192 query=192 centered window-search",640,10000,10,0.8811,1.040,1.385,1.511,958.33,123.8,0.0,807.6,196.4,197.5,0.0,"ef=128"
2026-08-07T21:30:57+02:00,dbpedia-openai-1000k-angular.bin,rq-hnsw-window,"rq8 build=192 query=192 centered window-search",1280,10000,10,0.8811,1.038,1.389,1.499,958.86,123.8,0.0,807.6,196.4,197.5,0.0,"ef=128"
2026-08-07T21:32:58+02:00,dbpedia-openai-1000k-angular.bin,rq-hnsw,"rq4 build=384 query=384 centered 208B/code rescore=0",16,10000,10,0.5908,0.176,0.265,0.319,5476.08,115.3,0.0,838.0,196.4,202.1,0.0,"graph: 33008960 edges, 99026871 conn bytes, 112920496 overhead bytes"
2026-08-07T21:33:01+02:00,dbpedia-openai-1000k-angular.bin,rq-hnsw,"rq4 build=384 query=384 centered 208B/code rescore=0",32,10000,10,0.6110,0.284,0.405,0.483,3443.81,115.3,0.0,838.0,196.4,202.1,0.0,"graph: 33008960 edges, 99026871 conn bytes, 112920496 overhead bytes"
2026-08-07T21:33:06+02:00,dbpedia-openai-1000k-angular.bin,rq-hnsw,"rq4 build=384 query=384 centered 208B/code rescore=0",64,10000,10,0.6195,0.475,0.670,0.758,2073.05,115.3,0.0,838.0,196.4,202.1,0.0,"graph: 33008960 edges, 99026871 conn bytes, 112920496 overhead bytes"
2026-08-07T21:33:15+02:00,dbpedia-openai-1000k-angular.bin,rq-hnsw,"rq4 build=384 query=384 centered 208B/code rescore=0",128,10000,10,0.6233,0.823,1.166,1.298,1203.05,115.3,0.0,838.0,196.4,202.1,0.0,"graph: 33008960 edges, 99026871 conn bytes, 112920496 overhead bytes"
2026-08-07T21:33:29+02:00,dbpedia-openai-1000k-angular.bin,rq-hnsw,"rq4 build=384 query=384 centered 208B/code rescore=0",256,10000,10,0.6256,1.468,2.124,2.365,672.91,115.3,0.0,838.0,196.4,202.1,0.0,"graph: 33008960 edges, 99026871 conn bytes, 112920496 overhead bytes"
2026-08-07T21:33:56+02:00,dbpedia-openai-1000k-angular.bin,rq-hnsw,"rq4 build=384 query=384 centered 208B/code rescore=0",512,10000,10,0.6268,2.664,3.813,4.181,372.90,115.3,0.0,838.0,196.4,202.1,0.0,"graph: 33008960 edges, 99026871 conn bytes, 112920496 overhead bytes"
2026-08-07T21:33:58+02:00,dbpedia-openai-1000k-angular.bin,rq-hnsw,"rq4 build=384 query=384 centered 208B/code rescore=100",16,10000,10,0.7028,0.215,0.306,0.358,4511.21,115.3,0.0,838.0,196.4,202.1,0.0,"graph: 33008960 edges, 99026871 conn bytes, 112920496 overhead bytes"
2026-08-07T21:34:02+02:00,dbpedia-openai-1000k-angular.bin,rq-hnsw,"rq4 build=384 query=384 centered 208B/code rescore=100",32,10000,10,0.8453,0.339,0.463,0.528,2900.43,115.3,0.0,838.0,196.4,202.1,0.0,"graph: 33008960 edges, 99026871 conn bytes, 112920496 overhead bytes"
2026-08-07T21:34:08+02:00,dbpedia-openai-1000k-angular.bin,rq-hnsw,"rq4 build=384 query=384 centered 208B/code rescore=100",64,10000,10,0.9265,0.565,0.769,0.857,1734.59,115.3,0.0,838.0,196.4,202.1,0.0,"graph: 33008960 edges, 99026871 conn bytes, 112920496 overhead bytes"
2026-08-07T21:34:17+02:00,dbpedia-openai-1000k-angular.bin,rq-hnsw,"rq4 build=384 query=384 centered 208B/code rescore=100",128,10000,10,0.9598,0.961,1.320,1.442,1030.14,115.3,0.0,838.0,196.4,202.1,0.0,"graph: 33008960 edges, 99026871 conn bytes, 112920496 overhead bytes"
2026-08-07T21:34:34+02:00,dbpedia-openai-1000k-angular.bin,rq-hnsw,"rq4 build=384 query=384 centered 208B/code rescore=100",256,10000,10,0.9686,1.630,2.288,2.496,607.92,115.3,0.0,838.0,196.4,202.1,0.0,"graph: 33008960 edges, 99026871 conn bytes, 112920496 overhead bytes"
2026-08-07T21:35:02+02:00,dbpedia-openai-1000k-angular.bin,rq-hnsw,"rq4 build=384 query=384 centered 208B/code rescore=100",512,10000,10,0.9726,2.847,4.000,4.374,350.37,115.3,0.0,838.0,196.4,202.1,0.0,"graph: 33008960 edges, 99026871 conn bytes, 112920496 overhead bytes"
2026-08-07T21:35:11+02:00,dbpedia-openai-1000k-angular.bin,rq-hnsw-window,"rq4 build=384 query=384 centered window-search",0,10000,10,0.6233,0.809,1.151,1.278,1220.83,115.3,0.0,838.0,196.4,202.1,0.0,"ef=128"
2026-08-07T21:35:19+02:00,dbpedia-openai-1000k-angular.bin,rq-hnsw-window,"rq4 build=384 query=384 centered window-search",10,10000,10,0.6233,0.840,1.190,1.314,1174.87,115.3,0.0,838.0,196.4,202.1,0.0,"ef=128"
