timestamp,dataset,index,config,param,queries,k,recall,p50_ms,p95_ms,p99_ms,qps,build_s,settle_s,heap_total_mib,vectors_mib,index_mib,disk_mib,notes
2026-08-08T00:07:47+02:00,wikidpr-1M-e5.bin,rq-hnsw-window,"rq8 build=768 query=768 uncentered window-search",320,1000,10,0.9787,0.849,1.249,1.424,1158.55,107.3,0.0,1549.2,747.7,205.1,0.0,"ef=128"
2026-08-08T00:07:48+02:00,wikidpr-1M-e5.bin,rq-hnsw-window,"rq8 build=768 query=768 uncentered window-search",640,1000,10,0.9787,0.843,1.260,1.367,1166.18,107.3,0.0,1549.2,747.7,205.1,0.0,"ef=128"
2026-08-08T00:07:49+02:00,wikidpr-1M-e5.bin,rq-hnsw-window,"rq8 build=768 query=768 uncentered window-search",1280,1000,10,0.9787,0.838,1.232,1.390,1170.40,107.3,0.0,1549.2,747.7,205.1,0.0,"ef=128"
2026-08-08T00:09:44+02:00,wikidpr-1M-e5.bin,rq-hnsw,"rq8 build=512 query=512 uncentered 528B/code rescore=0",16,1000,10,0.5377,0.145,0.237,0.285,6531.26,112.6,0.0,1129.8,503.5,179.3,0.0,"graph: 24635816 edges, 73907174 conn bytes, 114053728 overhead bytes"
2026-08-08T00:09:44+02:00,wikidpr-1M-e5.bin,rq-hnsw,"rq8 build=512 query=512 uncentered 528B/code rescore=0",32,1000,10,0.5588,0.228,0.346,0.414,4253.71,112.6,0.0,1129.8,503.5,179.3,0.0,"graph: 24635816 edges, 73907174 conn bytes, 114053728 overhead bytes"
2026-08-08T00:09:45+02:00,wikidpr-1M-e5.bin,rq-hnsw,"rq8 build=512 query=512 uncentered 528B/code rescore=0",64,1000,10,0.5706,0.392,0.576,0.673,2509.96,112.6,0.0,1129.8,503.5,179.3,0.0,"graph: 24635816 edges, 73907174 conn bytes, 114053728 overhead bytes"
2026-08-08T00:09:45+02:00,wikidpr-1M-e5.bin,rq-hnsw,"rq8 build=512 query=512 uncentered 528B/code rescore=0",128,1000,10,0.5750,0.701,1.009,1.115,1421.90,112.6,0.0,1129.8,503.5,179.3,0.0,"graph: 24635816 edges, 73907174 conn bytes, 114053728 overhead bytes"
2026-08-08T00:09:47+02:00,wikidpr-1M-e5.bin,rq-hnsw,"rq8 build=512 query=512 uncentered 528B/code rescore=0",256,1000,10,0.5777,1.298,1.845,2.074,768.94,112.6,0.0,1129.8,503.5,179.3,0.0,"graph: 24635816 edges, 73907174 conn bytes, 114053728 overhead bytes"
2026-08-08T00:09:49+02:00,wikidpr-1M-e5.bin,rq-hnsw,"rq8 build=512 query=512 uncentered 528B/code rescore=0",512,1000,10,0.5800,2.443,3.373,3.799,410.45,112.6,0.0,1129.8,503.5,179.3,0.0,"graph: 24635816 edges, 73907174 conn bytes, 114053728 overhead bytes"
2026-08-08T00:09:49+02:00,wikidpr-1M-e5.bin,rq-hnsw,"rq8 build=512 query=512 uncentered 528B/code rescore=100",16,1000,10,0.6468,0.166,0.253,0.305,5775.30,112.6,0.0,1129.8,503.5,179.3,0.0,"graph: 24635816 edges, 73907174 conn bytes, 114053728 overhead bytes"
