timestamp,dataset,n,dims,retained,rotate,seed,budgets,rescore,queries,k,recall,block0_p50_ms,block0_p95_ms,block0_p99_ms,rest_p50_ms,rest_p95_ms,rest_p99_ms,rescore_p50_ms,rescore_p95_ms,rescore_p99_ms,total_p50_ms,total_p95_ms,total_p99_ms,avg_survivors,bytes_per_vec,store_bytes,float_bytes
2026-07-30T11:14:22+02:00,dbpedia-openai-1000k-angular.bin,990000,1536,1536,true,6006312134741963231,"100000,20000,5000,1500,600,350",0,10000,10,0.6062,26.761,28.864,33.146,4.794,5.516,6.881,0.235,0.287,0.368,31.814,34.378,40.123,"100000.0;20000.0;5000.0;1500.0;600.0;350.0;350.0;350.0;350.0;350.0;350.0;350.0;350.0;350.0;350.0;350.0;350.0;350.0;350.0;350.0;350.0;350.0;350.0;350.0",192,190080000,6082560000
2026-07-30T11:20:10+02:00,dbpedia-openai-1000k-angular.bin,990000,1536,1536,false,6006312134741963231,"100000,20000,5000,1500,600,350",0,10000,10,0.7466,28.627,30.505,34.692,5.089,5.802,6.995,0.241,0.299,0.366,33.988,36.301,42.005,"100000.0;20000.0;5000.0;1500.0;600.0;350.0;350.0;350.0;350.0;350.0;350.0;350.0;350.0;350.0;350.0;350.0;350.0;350.0;350.0;350.0;350.0;350.0;350.0;350.0",192,190080000,6082560000
2026-07-30T11:07:20+02:00,dbpedia-openai-1000k-angular.bin,990000,1536,1536,true,6006312134741963231,"990000",350,20,10,0.9800,26.865,27.925,28.412,896.752,999.242,1035.814,0.254,0.309,0.317,923.868,1025.906,1062.794,"990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0",192,190080000,6082560000
