timestamp,dataset,mode,config,n,dims,retained,rotate,center,seed,budgets,rescore,queries,k,recall,block0_p50_ms,block0_p95_ms,block0_p99_ms,rest_p50_ms,rest_p95_ms,rest_p99_ms,rescore_p50_ms,rescore_p95_ms,rescore_p99_ms,total_p50_ms,total_p95_ms,total_p99_ms,avg_survivors,bytes_per_vec,store_bytes,float_bytes,bytes_read_per_query,bandwidth_gib_s,qps,gen_quantile,block_modes,stream_gib_s,gather_gib_s
2026-07-30T16:52:31+02:00,dbpedia-openai-1000k-angular.bin,full,center+rotate,990000,1536,768,true,true,6006312134741963231,"100000,20000,5000,1500,600,350",350,10000,10,0.9909,0.492,0.541,0.594,7.125,7.621,7.923,0.207,0.233,0.267,7.835,8.331,8.633,"990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0",96,95040000,6082560000,95040000,11.513,126.51,0.00,,0.00,0.00
2026-07-30T16:53:21+02:00,dbpedia-openai-1000k-angular.bin,hybrid,center+rotate,990000,1536,768,true,true,6006312134741963231,"58115,6536,1433,543,350,350,350,350,350,350,350,350",350,10000,10,0.8145,2.360,2.474,2.554,0.493,0.577,0.649,0.206,0.237,0.272,3.069,3.232,3.372,"58115.0;6536.0;1433.0;543.0;350.0;350.0;350.0;350.0;350.0;350.0;350.0;350.0",96,95040000,6082560000,11633821,3.767,322.59,0.50,SGGGGGGGGGGG,15.15,10.60
2026-07-30T16:54:29+02:00,dbpedia-openai-1000k-angular.bin,hybrid,center+rotate,990000,1536,768,true,true,6006312134741963231,"164901,28437,7123,2485,1101,660,434,350,350,350,350,350",350,10000,10,0.9198,3.323,3.451,3.558,1.396,1.711,1.942,0.206,0.238,0.270,4.954,5.303,5.532,"164901.0;28437.0;7123.0;2485.0;1101.0;660.0;434.0;350.0;350.0;350.0;350.0;350.0",96,95040000,6082560000,18318276,3.572,200.12,0.75,SSGGGGGGGGGG,13.06,9.68
2026-07-30T16:55:50+02:00,dbpedia-openai-1000k-angular.bin,hybrid,center+rotate,990000,1536,768,true,true,6006312134741963231,"307481,73914,20787,8295,3573,1826,1139,849,615,464,350,350",350,10000,10,0.9653,3.669,3.805,3.979,2.394,2.670,2.854,0.208,0.240,0.278,6.287,6.618,6.939,"307481.0;73914.0;20787.0;8295.0;3573.0;1826.0;1139.0;849.0;615.0;464.0;350.0;350.0",96,95040000,6082560000,21813371,3.322,157.46,0.90,SSGGGGGGGGGG,13.18,9.48
2026-07-30T16:57:23+02:00,dbpedia-openai-1000k-angular.bin,hybrid,center+rotate,990000,1536,768,true,true,6006312134741963231,"403104,128802,43278,15300,6189,3269,1894,1335,1033,849,535,445",350,10000,10,0.9799,3.542,3.681,3.865,3.559,4.176,4.480,0.209,0.244,0.278,7.338,7.955,8.435,"403104.0;128802.0;43278.0;15300.0;6189.0;3269.0;1894.0;1335.0;1033.0;849.0;535.0;445.0",96,95040000,6082560000,28022467,3.620,134.41,0.95,SSSGGGGGGGGG,12.05,9.38
2026-07-30T16:58:34+02:00,dbpedia-openai-1000k-angular.bin,full,center+rotate,990000,1536,512,true,true,6006312134741963231,"100000,20000,5000,1500,600,350",1000,10000,10,0.9903,0.491,0.560,0.693,4.760,5.443,6.273,0.588,0.677,0.825,5.868,6.587,7.835,"990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0;990000.0",64,63360000,6082560000,63360000,10.907,165.92,0.00,,0.00,0.00
2026-07-30T16:59:26+02:00,dbpedia-openai-1000k-angular.bin,hybrid,center+rotate,990000,1536,512,true,true,6006312134741963231,"58115,6536,1433,1000,1000,1000,1000,1000",1000,10000,10,0.8318,2.397,2.553,2.744,0.544,0.655,0.747,0.615,0.710,0.780,3.567,3.813,4.152,"58115.0;6536.0;1433.0;1000.0;1000.0;1000.0;1000.0;1000.0",64,63360000,6082560000,11697629,3.666,276.66,0.50,SGGGGGGG,14.85,9.24
2026-07-30T17:00:35+02:00,dbpedia-openai-1000k-angular.bin,hybrid,center+rotate,990000,1536,512,true,true,6006312134741963231,"164901,28437,7123,2485,1101,1000,1000,1000",1000,10000,10,0.9274,3.363,3.531,3.655,1.407,1.656,1.837,0.618,0.706,0.760,5.418,5.735,5.929,"164901.0;28437.0;7123.0;2485.0;1101.0;1000.0;1000.0;1000.0",64,63360000,6082560000,18286461,3.535,183.30,0.75,SSGGGGGG,13.09,9.04
2026-07-30T17:02:00+02:00,dbpedia-openai-1000k-angular.bin,hybrid,center+rotate,990000,1536,512,true,true,6006312134741963231,"307481,73914,20787,8295,3573,1826,1139,1000",1000,10000,10,0.9691,3.729,4.067,4.997,2.441,2.832,3.771,0.625,0.736,0.922,6.824,7.531,9.196,"307481.0;73914.0;20787.0;8295.0;3573.0;1826.0;1139.0;1000.0",64,63360000,6082560000,21667921,3.203,143.53,0.90,SSGGGGGG,12.91,8.66
2026-07-30T17:03:36+02:00,dbpedia-openai-1000k-angular.bin,hybrid,center+rotate,990000,1536,512,true,true,6006312134741963231,"403104,128802,43278,15300,6189,3269,1894,1335",1000,10000,10,0.9816,3.591,4.055,5.047,3.584,4.259,5.467,0.625,0.756,0.957,7.847,8.868,11.252,"403104.0;128802.0;43278.0;15300.0;6189.0;3269.0;1894.0;1335.0",64,63360000,6082560000,27783247,3.512,124.48,0.95,SSSGGGGG,12.17,8.69
2026-07-30T17:04:45+02:00,dbpedia-openai-1000k-angular.bin,full,center+rotate,990000,1536,384,true,true,6006312134741963231,"100000,20000,5000,1500,600,350",2500,10000,10,0.9908,0.495,0.579,0.744,3.645,4.106,4.983,1.538,1.780,2.201,5.715,6.321,7.716,"990000.0;990000.0;990000.0;990000.0;990000.0;990000.0",48,47520000,6082560000,47520000,10.422,171.64,0.00,,0.00,0.00
2026-07-30T17:05:45+02:00,dbpedia-openai-1000k-angular.bin,hybrid,center+rotate,990000,1536,384,true,true,6006312134741963231,"58115,6536,2500,2500,2500,2500",2500,10000,10,0.8504,2.394,2.665,3.173,0.569,0.713,0.884,1.546,1.787,2.159,4.532,5.072,5.905,"58115.0;6536.0;2500.0;2500.0;2500.0;2500.0",48,47520000,6082560000,11827080,3.634,216.12,0.50,SGGGGG,14.62,8.75
2026-07-30T17:07:04+02:00,dbpedia-openai-1000k-angular.bin,hybrid,center+rotate,990000,1536,384,true,true,6006312134741963231,"164901,28437,7123,2500,2500,2500",2500,10000,10,0.9337,3.379,3.748,4.659,1.407,1.737,2.170,1.554,1.789,2.296,6.384,7.081,8.766,"164901.0;28437.0;7123.0;2500.0;2500.0;2500.0",48,47520000,6082560000,18248251,3.451,153.15,0.75,SSGGGG,12.70,8.78
2026-07-30T17:08:37+02:00,dbpedia-openai-1000k-angular.bin,hybrid,center+rotate,990000,1536,384,true,true,6006312134741963231,"307481,73914,20787,8295,3573,2500",2500,10000,10,0.9725,3.718,4.056,4.827,2.429,2.870,3.317,1.555,1.794,2.185,7.750,8.433,9.880,"307481.0;73914.0;20787.0;8295.0;3573.0;2500.0",48,47520000,6082560000,21479232,3.185,126.53,0.90,SSGGGG,12.77,8.60
2026-07-30T17:10:19+02:00,dbpedia-openai-1000k-angular.bin,hybrid,center+rotate,990000,1536,384,true,true,6006312134741963231,"403104,128802,43278,15300,6189,3269",2500,10000,10,0.9836,3.581,3.869,4.496,3.561,4.131,4.764,1.550,1.768,2.038,8.741,9.490,10.951,"403104.0;128802.0;43278.0;15300.0;6189.0;3269.0",48,47520000,6082560000,27456064,3.513,112.68,0.95,SSSGGG,11.99,8.86
