dataset,filter,family,size,strategy,ef,pass,queries,recall_at_10,perfect_frac,sim_regret,p50_ms,p95_ms,p99_ms,mean_ms,mean_dist_comps,mean_seed_dist_comps,mean_filter_checks,mean_nodes_popped,median_pop_idx_cand_full,median_pop_idx_results_full,mean_twohop_examined,mean_twohop_appended,mean_prefilter_skips,mean_secondorder_allocs,mean_reencountered_burned,strategy_used
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,512,1,22,1.0000,1.0000,0.00000,3.244,4.271,4.594,3.335,6393.0,0.0,3650.7,574.5,10.0,11.0,584.7,312.9,1188.1,9.1,0.00,pathseer:22
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,512,2,22,1.0000,1.0000,0.00000,3.173,4.351,4.660,3.307,6393.0,0.0,3650.7,574.5,10.0,11.0,584.7,312.9,1188.1,9.1,0.00,pathseer:22
beir500k-f32,pos10_cat01,pos10,50038,pathseer-reorder,512,3,22,1.0000,1.0000,0.00000,3.229,4.527,4.698,3.325,6393.0,0.0,3650.7,574.5,10.0,11.0,584.7,312.9,1188.1,9.1,0.00,pathseer:22
beir500k-f32,pos10_cat02,pos10,50303,pathseer-reorder,64,1,60,0.9583,0.7167,0.00142,0.885,1.067,1.133,0.879,1809.2,0.0,562.7,71.4,2.0,2.0,80.0,54.2,125.6,1.2,0.00,pathseer:60
beir500k-f32,pos10_cat02,pos10,50303,pathseer-reorder,64,2,60,0.9583,0.7167,0.00142,0.862,4.227,5.289,1.256,1809.2,0.0,562.7,71.4,2.0,2.0,80.0,54.2,125.6,1.2,0.00,pathseer:60
beir500k-f32,pos10_cat02,pos10,50303,pathseer-reorder,64,3,60,0.9583,0.7167,0.00142,0.854,1.123,1.312,0.863,1809.2,0.0,562.7,71.4,2.0,2.0,80.0,54.2,125.6,1.2,0.00,pathseer:60
beir500k-f32,pos10_cat02,pos10,50303,pathseer-reorder,128,1,60,0.9817,0.8833,0.00042,1.449,1.797,2.118,1.475,3188.6,0.0,1086.7,142.7,3.0,3.0,139.7,93.7,293.9,2.2,0.00,pathseer:60
beir500k-f32,pos10_cat02,pos10,50303,pathseer-reorder,128,2,60,0.9817,0.8833,0.00042,1.463,1.814,2.129,1.485,3188.6,0.0,1086.7,142.7,3.0,3.0,139.7,93.7,293.9,2.2,0.00,pathseer:60
beir500k-f32,pos10_cat02,pos10,50303,pathseer-reorder,128,3,60,0.9817,0.8833,0.00042,1.482,1.837,2.167,1.496,3188.6,0.0,1086.7,142.7,3.0,3.0,139.7,93.7,293.9,2.2,0.00,pathseer:60
beir500k-f32,pos10_cat02,pos10,50303,pathseer-reorder,256,1,60,0.9983,0.9833,0.00001,2.496,3.111,3.752,2.561,5416.5,0.0,2025.7,283.5,5.0,5.0,246.4,167.2,598.5,3.9,0.00,pathseer:60
beir500k-f32,pos10_cat02,pos10,50303,pathseer-reorder,256,2,60,0.9983,0.9833,0.00001,2.576,3.059,3.782,2.569,5416.5,0.0,2025.7,283.5,5.0,5.0,246.4,167.2,598.5,3.9,0.00,pathseer:60
beir500k-f32,pos10_cat02,pos10,50303,pathseer-reorder,256,3,60,0.9983,0.9833,0.00001,2.519,3.127,3.803,2.570,5416.5,0.0,2025.7,283.5,5.0,5.0,246.4,167.2,598.5,3.9,0.00,pathseer:60
beir500k-f32,pos10_cat02,pos10,50303,pathseer-reorder,512,1,60,1.0000,1.0000,0.00000,4.408,5.521,7.117,4.500,8899.0,0.0,3889.1,569.5,8.0,8.0,490.7,306.5,1240.8,7.7,0.00,pathseer:60
beir500k-f32,pos10_cat02,pos10,50303,pathseer-reorder,512,2,60,1.0000,1.0000,0.00000,4.438,5.453,6.908,4.476,8899.0,0.0,3889.1,569.5,8.0,8.0,490.7,306.5,1240.8,7.7,0.00,pathseer:60
beir500k-f32,pos10_cat02,pos10,50303,pathseer-reorder,512,3,60,1.0000,1.0000,0.00000,4.411,5.484,6.925,4.504,8899.0,0.0,3889.1,569.5,8.0,8.0,490.7,306.5,1240.8,7.7,0.00,pathseer:60
beir500k-f32,pos10_cat03,pos10,65848,pathseer-reorder,64,1,55,0.9855,0.8545,0.00041,0.824,0.986,1.018,0.825,1690.3,0.0,623.4,73.7,2.0,2.0,96.6,48.1,160.8,1.5,0.00,pathseer:55
beir500k-f32,pos10_cat03,pos10,65848,pathseer-reorder,64,2,55,0.9855,0.8545,0.00041,0.820,0.989,1.021,0.824,1690.3,0.0,623.4,73.7,2.0,2.0,96.6,48.1,160.8,1.5,0.00,pathseer:55
beir500k-f32,pos10_cat03,pos10,65848,pathseer-reorder,64,3,55,0.9855,0.8545,0.00041,0.837,0.987,1.015,0.826,1690.3,0.0,623.4,73.7,2.0,2.0,96.6,48.1,160.8,1.5,0.00,pathseer:55
beir500k-f32,pos10_cat03,pos10,65848,pathseer-reorder,128,1,55,0.9945,0.9455,0.00017,1.477,1.761,1.876,1.431,2952.6,0.0,1148.1,145.3,3.0,3.0,165.2,86.3,339.2,2.6,0.00,pathseer:55
beir500k-f32,pos10_cat03,pos10,65848,pathseer-reorder,128,2,55,0.9945,0.9455,0.00017,1.472,1.798,1.885,1.445,2952.6,0.0,1148.1,145.3,3.0,3.0,165.2,86.3,339.2,2.6,0.00,pathseer:55
beir500k-f32,pos10_cat03,pos10,65848,pathseer-reorder,128,3,55,0.9945,0.9455,0.00017,1.476,1.813,1.933,1.439,2952.6,0.0,1148.1,145.3,3.0,3.0,165.2,86.3,339.2,2.6,0.00,pathseer:55
beir500k-f32,pos10_cat03,pos10,65848,pathseer-reorder,256,1,55,0.9964,0.9636,0.00015,2.546,3.061,3.411,2.538,5103.8,0.0,2104.6,288.3,5.0,5.0,276.9,155.6,666.4,4.3,0.00,pathseer:55
beir500k-f32,pos10_cat03,pos10,65848,pathseer-reorder,256,2,55,0.9964,0.9636,0.00015,2.604,3.070,3.437,2.557,5103.8,0.0,2104.6,288.3,5.0,5.0,276.9,155.6,666.4,4.3,0.00,pathseer:55
beir500k-f32,pos10_cat03,pos10,65848,pathseer-reorder,256,3,55,0.9964,0.9636,0.00015,2.614,3.182,3.571,2.617,5103.8,0.0,2104.6,288.3,5.0,5.0,276.9,155.6,666.4,4.3,0.00,pathseer:55
beir500k-f32,pos10_cat03,pos10,65848,pathseer-reorder,512,1,55,0.9964,0.9636,0.00015,4.575,5.663,6.384,4.515,8581.9,0.0,4318.5,591.9,9.0,9.0,512.0,306.3,1624.4,8.0,0.00,pathseer:55
beir500k-f32,pos10_cat03,pos10,65848,pathseer-reorder,512,2,55,0.9964,0.9636,0.00015,4.549,5.693,6.364,4.494,8581.9,0.0,4318.5,591.9,9.0,9.0,512.0,306.3,1624.4,8.0,0.00,pathseer:55
beir500k-f32,pos10_cat03,pos10,65848,pathseer-reorder,512,3,55,0.9964,0.9636,0.00015,4.600,5.636,6.482,4.580,8581.9,0.0,4318.5,591.9,9.0,9.0,512.0,306.3,1624.4,8.0,0.00,pathseer:55
beir500k-f32,pos10_cat04,pos10,55993,pathseer-reorder,64,1,57,0.9947,0.9474,0.00005,0.656,0.871,0.963,0.671,1454.7,0.0,421.8,67.5,2.0,2.0,79.7,53.9,32.1,1.2,0.00,pathseer:57
