dataset,filter,family,size,strategy,ef,pass,queries,recall_at_10,perfect_frac,sim_regret,p50_ms,p95_ms,p99_ms,mean_ms,mean_dist_comps,mean_seed_dist_comps,mean_filter_checks,mean_nodes_popped,median_pop_idx_cand_full,median_pop_idx_results_full,mean_twohop_examined,mean_twohop_appended,mean_prefilter_skips,mean_secondorder_allocs,mean_reencountered_burned,strategy_used
beir500k-f32,pos10_cat00,pos10,69460,pathseer-nc,512,2,12,1.0000,1.0000,0.00000,4.958,5.926,6.102,4.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,
beir500k-f32,pos10_cat00,pos10,69460,pathseer-nc,512,3,12,1.0000,1.0000,0.00000,5.046,5.929,6.141,4.919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,
beir500k-f32,pos10_cat01,pos10,50038,pathseer,64,1,22,1.0000,1.0000,0.00000,0.577,0.819,0.836,0.601,1270.8,0.0,434.6,68.8,2.0,2.0,81.5,49.9,57.5,1.3,4.36,pathseer:22
beir500k-f32,pos10_cat01,pos10,50038,pathseer,64,2,22,1.0000,1.0000,0.00000,0.580,0.788,0.832,0.590,1270.8,0.0,434.6,68.8,2.0,2.0,81.5,49.9,57.5,1.3,4.36,pathseer:22
beir500k-f32,pos10_cat01,pos10,50038,pathseer,64,3,22,1.0000,1.0000,0.00000,0.582,0.793,0.919,0.601,1270.8,0.0,434.6,68.8,2.0,2.0,81.5,49.9,57.5,1.3,4.36,pathseer:22
beir500k-f32,pos10_cat01,pos10,50038,pathseer-nc,64,1,22,1.0000,1.0000,0.00000,0.573,0.758,0.804,0.581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,
beir500k-f32,pos10_cat01,pos10,50038,pathseer-nc,64,2,22,1.0000,1.0000,0.00000,0.606,0.821,0.840,0.610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,
beir500k-f32,pos10_cat01,pos10,50038,pathseer-nc,64,3,22,1.0000,1.0000,0.00000,0.584,0.778,0.789,0.592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,
beir500k-f32,pos10_cat01,pos10,50038,pathseer,128,1,22,1.0000,1.0000,0.00000,1.145,1.565,1.640,1.138,2177.9,0.0,839.7,137.6,3.0,3.0,154.2,88.0,145.2,2.4,10.86,pathseer:22
beir500k-f32,pos10_cat01,pos10,50038,pathseer,128,2,22,1.0000,1.0000,0.00000,1.115,1.466,1.553,1.103,2177.9,0.0,839.7,137.6,3.0,3.0,154.2,88.0,145.2,2.4,10.86,pathseer:22
