dataset,filter,family,size,strategy,ef,pass,queries,recall_at_10,perfect_frac,sim_regret,p50_ms,p95_ms,p99_ms,mean_ms,mean_dist_comps,mean_seed_dist_comps,mean_filter_checks,mean_nodes_popped,median_pop_idx_cand_full,median_pop_idx_results_full,mean_twohop_examined,mean_twohop_appended,mean_prefilter_skips,mean_secondorder_allocs,mean_reencountered_burned,strategy_used
wikidpr10m-rq1,conj_topical100k_a_idlo,conjunction,54805,pathseer,64,2,1000,0.8392,0.2820,0.00109,60.069,194.868,232.218,73.518,65304.1,0.0,378756.4,29133.3,3.0,2171.0,124.8,0.8,285398.0,2.0,0.00,pathseer:1000
wikidpr10m-rq1,conj_topical100k_a_idlo,conjunction,54805,pathseer,64,3,1000,0.8392,0.2820,0.00109,58.645,187.355,245.115,73.077,65304.1,0.0,378756.4,29133.3,3.0,2171.0,124.8,0.8,285398.0,2.0,0.00,pathseer:1000
wikidpr10m-rq1,conj_topical100k_a_idlo,conjunction,54805,pathseer,128,1,1000,0.9198,0.5380,0.00044,111.028,320.065,387.177,129.195,113787.9,0.0,620275.5,51610.9,4.0,4266.0,228.3,1.3,456926.5,3.6,0.00,pathseer:1000
wikidpr10m-rq1,conj_topical100k_a_idlo,conjunction,54805,pathseer,128,2,1000,0.9198,0.5380,0.00044,110.425,318.737,397.623,128.926,113787.9,0.0,620275.5,51610.9,4.0,4266.0,228.3,1.3,456926.5,3.6,0.00,pathseer:1000
wikidpr10m-rq1,conj_topical100k_a_idlo,conjunction,54805,pathseer,128,3,1000,0.9198,0.5380,0.00044,109.137,319.075,395.291,129.035,113787.9,0.0,620275.5,51610.9,4.0,4266.0,228.3,1.3,456926.5,3.6,0.00,pathseer:1000
wikidpr10m-rq1,conj_topical100k_a_idlo,conjunction,54805,pathseer,256,1,1000,0.9642,0.7450,0.00017,199.055,531.863,668.660,226.655,198492.1,0.0,1000374.0,91133.2,8.0,8654.0,443.3,2.5,714597.7,6.9,0.00,pathseer:1000
wikidpr10m-rq1,conj_topical100k_a_idlo,conjunction,54805,pathseer,256,2,1000,0.9642,0.7450,0.00017,199.764,537.769,670.775,228.531,198492.1,0.0,1000374.0,91133.2,8.0,8654.0,443.3,2.5,714597.7,6.9,0.00,pathseer:1000
wikidpr10m-rq1,conj_topical100k_a_idlo,conjunction,54805,pathseer,256,3,1000,0.9642,0.7450,0.00017,196.945,533.747,667.436,227.243,198492.1,0.0,1000374.0,91133.2,8.0,8654.0,443.3,2.5,714597.7,6.9,0.00,pathseer:1000
wikidpr10m-rq1,conj_topical100k_a_idlo,conjunction,54805,pathseer,512,1,1000,0.9827,0.8550,0.00008,356.192,916.932,1140.782,398.037,341505.5,0.0,1579569.0,159348.8,15.0,16837.0,926.7,5.0,1085759.0,14.5,0.00,pathseer:1000
wikidpr10m-rq1,conj_topical100k_a_idlo,conjunction,54805,pathseer,512,2,1000,0.9827,0.8550,0.00008,355.759,917.107,1122.217,397.955,341505.5,0.0,1579569.0,159348.8,15.0,16837.0,926.7,5.0,1085759.0,14.5,0.00,pathseer:1000
wikidpr10m-rq1,conj_topical100k_a_idlo,conjunction,54805,pathseer,512,3,1000,0.9827,0.8550,0.00008,352.627,921.095,1125.851,398.509,341505.5,0.0,1579569.0,159348.8,15.0,16837.0,926.7,5.0,1085759.0,14.5,0.00,pathseer:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,sweeping,64,1,1000,0.8257,0.3020,0.00121,16.262,56.284,84.516,21.200,75078.3,0.0,10706.2,4119.3,3.0,84.0,0.0,0.0,0.0,0.0,0.00,sweeping:1000
wikidpr10m-rq1,conj_topical1m_a_idlo,conjunction,531538,sweeping,64,2,1000,0.8258,0.3030,0.00121,16.467,56.259,83.037,20.995,75078.3,0.0,10706.2,4119.3,3.0,84.0,0.0,0.0,0.0,0.0,0.00,sweeping:1000
