filter,family,size,b1,queries,recall_at_10,perfect_frac,sim_regret,p50_ms,p95_ms,p99_ms,allow_iter_p50_ms,stage1_p50_ms,stage2_p50_ms,stage3_p50_ms,stage1_mb_per_q,stage2_kb_per_q,stage3_kb_per_q
anticorr_q0714_tau0.01,anticorr,9900125,4096,1,0.7000,0.0000,0.00127,328.723,328.723,328.723,62.400,228.715,1.907,35.702,604.26,512.0,2100.0
anticorr_q0714_tau0.01,anticorr,9900125,32768,1,1.0000,1.0000,0.00000,325.366,325.366,325.366,61.613,232.397,12.151,19.205,604.26,4096.0,2100.0
anticorr_q0714_tau0.03,anticorr,9899674,4096,1,1.0000,1.0000,0.00000,320.576,320.576,320.576,64.032,227.223,1.720,27.601,604.23,512.0,2100.0
anticorr_q0714_tau0.03,anticorr,9899674,32768,1,1.0000,1.0000,0.00000,319.608,319.608,319.608,62.542,233.403,11.094,12.570,604.23,4096.0,2100.0
anticorr_q0716_tau0,anticorr,9900000,4096,1,0.1000,0.0000,0.00002,336.785,336.785,336.785,62.388,227.666,2.072,44.660,604.25,512.0,2100.0
anticorr_q0716_tau0,anticorr,9900000,32768,1,0.0000,0.0000,0.00004,335.265,335.265,335.265,61.959,232.221,12.171,28.913,604.25,4096.0,2100.0
anticorr_q0716_tau0.01,anticorr,9900123,4096,1,0.9000,0.0000,0.00103,332.923,332.923,332.923,61.661,228.986,1.957,40.319,604.26,512.0,2100.0
anticorr_q0716_tau0.01,anticorr,9900123,32768,1,0.9000,0.0000,0.00103,323.739,323.739,323.739,63.097,231.341,12.711,16.590,604.26,4096.0,2100.0
anticorr_q0716_tau0.03,anticorr,9899962,4096,1,1.0000,1.0000,0.00000,333.974,333.974,333.974,61.903,231.468,1.835,38.769,604.25,512.0,2100.0
anticorr_q0716_tau0.03,anticorr,9899962,32768,1,1.0000,1.0000,0.00000,312.154,312.154,312.154,62.113,230.651,11.688,7.702,604.25,4096.0,2100.0
anticorr_q0720_tau0,anticorr,9900000,4096,1,0.1000,0.0000,0.00004,326.816,326.816,326.816,63.606,228.622,2.011,32.577,604.25,512.0,2100.0
anticorr_q0720_tau0,anticorr,9900000,32768,1,0.1000,0.0000,0.00003,329.183,329.183,329.183,62.898,231.743,12.335,22.207,604.25,4096.0,2100.0
anticorr_q0720_tau0.01,anticorr,9899905,4096,1,0.4000,0.0000,0.00176,326.017,326.017,326.017,62.668,229.535,2.020,31.794,604.24,512.0,2100.0
anticorr_q0720_tau0.01,anticorr,9899905,32768,1,0.8000,0.0000,0.00016,325.847,325.847,325.847,62.752,232.168,12.828,18.100,604.24,4096.0,2100.0
anticorr_q0720_tau0.03,anticorr,9900468,4096,1,1.0000,1.0000,0.00000,317.747,317.747,317.747,62.500,228.592,1.996,24.659,604.28,512.0,2100.0
anticorr_q0720_tau0.03,anticorr,9900468,32768,1,1.0000,1.0000,0.00000,314.274,314.274,314.274,61.643,231.868,11.966,8.796,604.28,4096.0,2100.0
anticorr_q0722_tau0,anticorr,9900000,4096,1,0.0000,0.0000,0.00006,323.855,323.855,323.855,61.634,229.453,1.874,30.895,604.25,512.0,2100.0
anticorr_q0722_tau0,anticorr,9900000,32768,1,0.0000,0.0000,0.00002,327.082,327.082,327.082,62.573,231.612,12.887,20.009,604.25,4096.0,2100.0
anticorr_q0722_tau0.01,anticorr,9899927,4096,1,0.7000,0.0000,0.00099,323.129,323.129,323.129,61.603,230.312,1.772,29.442,604.24,512.0,2100.0
anticorr_q0722_tau0.01,anticorr,9899927,32768,1,1.0000,1.0000,0.00000,319.605,319.605,319.605,63.317,231.490,11.648,13.150,604.24,4096.0,2100.0
anticorr_q0722_tau0.03,anticorr,9899753,4096,1,1.0000,1.0000,0.00000,314.530,314.530,314.530,63.716,227.893,1.630,21.291,604.23,512.0,2100.0
anticorr_q0722_tau0.03,anticorr,9899753,32768,1,1.0000,1.0000,0.00000,309.479,309.479,309.479,61.607,232.194,11.672,4.006,604.23,4096.0,2100.0
anticorr_q0739_tau0,anticorr,9900000,4096,1,0.0000,0.0000,0.00003,323.921,323.921,323.921,62.750,229.354,1.906,29.911,604.25,512.0,2100.0
anticorr_q0739_tau0,anticorr,9900000,32768,1,0.1000,0.0000,0.00002,329.349,329.349,329.349,62.723,231.149,11.684,23.793,604.25,4096.0,2100.0
anticorr_q0739_tau0.01,anticorr,9900332,4096,1,0.8000,0.0000,0.00053,322.693,322.693,322.693,62.498,228.000,1.902,30.292,604.27,512.0,2100.0
anticorr_q0739_tau0.01,anticorr,9900332,32768,1,0.9000,0.0000,0.00005,320.185,320.185,320.185,62.479,231.641,11.799,14.265,604.27,4096.0,2100.0
anticorr_q0739_tau0.03,anticorr,9899894,4096,1,1.0000,1.0000,0.00000,311.475,311.475,311.475,61.603,227.834,1.653,20.385,604.24,512.0,2100.0
anticorr_q0739_tau0.03,anticorr,9899894,32768,1,1.0000,1.0000,0.00000,307.800,307.800,307.800,62.791,229.885,11.135,3.990,604.24,4096.0,2100.0
anticorr_q0759_tau0,anticorr,9900000,4096,1,0.0000,0.0000,0.00003,326.487,326.487,326.487,62.932,227.733,1.947,33.874,604.25,512.0,2100.0
anticorr_q0759_tau0,anticorr,9900000,32768,1,0.0000,0.0000,0.00004,333.772,333.772,333.772,64.256,234.034,12.463,23.019,604.25,4096.0,2100.0
anticorr_q0759_tau0.01,anticorr,9900237,4096,1,0.9000,0.0000,0.00022,324.333,324.333,324.333,62.584,228.728,1.888,31.133,604.26,512.0,2100.0
anticorr_q0759_tau0.01,anticorr,9900237,32768,1,1.0000,1.0000,0.00000,321.187,321.187,321.187,63.305,231.747,12.112,14.024,604.26,4096.0,2100.0
anticorr_q0759_tau0.03,anticorr,9899764,4096,1,1.0000,1.0000,0.00000,322.133,322.133,322.133,62.116,230.000,1.983,28.034,604.23,512.0,2100.0
anticorr_q0759_tau0.03,anticorr,9899764,32768,1,1.0000,1.0000,0.00000,314.441,314.441,314.441,62.709,230.427,11.904,9.400,604.23,4096.0,2100.0
anticorr_q0763_tau0,anticorr,9900001,4096,1,0.0000,0.0000,0.00005,336.036,336.036,336.036,63.415,230.656,1.954,40.011,604.25,512.0,2100.0
anticorr_q0763_tau0,anticorr,9900001,32768,1,0.0000,0.0000,0.00004,332.829,332.829,332.829,62.143,231.529,12.063,27.093,604.25,4096.0,2100.0
anticorr_q0763_tau0.01,anticorr,9899825,4096,1,0.8000,0.0000,0.00098,328.736,328.736,328.736,61.799,228.513,1.927,36.497,604.24,512.0,2100.0
anticorr_q0763_tau0.01,anticorr,9899825,32768,1,0.9000,0.0000,0.00081,327.724,327.724,327.724,62.286,230.623,13.118,21.696,604.24,4096.0,2100.0
anticorr_q0763_tau0.03,anticorr,9899690,4096,1,1.0000,1.0000,0.00000,323.722,323.722,323.722,62.847,227.159,1.880,31.835,604.23,512.0,2100.0
anticorr_q0763_tau0.03,anticorr,9899690,32768,1,1.0000,1.0000,0.00000,316.000,316.000,316.000,62.436,233.997,11.665,7.902,604.23,4096.0,2100.0
anticorr_q0771_tau0,anticorr,9900000,4096,1,0.1000,0.0000,0.00005,325.871,325.871,325.871,63.462,228.606,2.135,31.668,604.25,512.0,2100.0
anticorr_q0771_tau0,anticorr,9900000,32768,1,0.1000,0.0000,0.00003,328.855,328.855,328.855,61.841,231.673,11.982,23.359,604.25,4096.0,2100.0
anticorr_q0771_tau0.01,anticorr,9900307,4096,1,1.0000,1.0000,0.00000,326.581,326.581,326.581,61.875,230.314,1.832,32.561,604.27,512.0,2100.0
anticorr_q0771_tau0.01,anticorr,9900307,32768,1,1.0000,1.0000,0.00000,317.749,317.749,317.749,62.635,232.207,11.797,11.110,604.27,4096.0,2100.0
anticorr_q0771_tau0.03,anticorr,9899838,4096,1,1.0000,1.0000,0.00000,324.218,324.218,324.218,62.612,231.184,1.438,28.984,604.24,512.0,2100.0
anticorr_q0771_tau0.03,anticorr,9899838,32768,1,1.0000,1.0000,0.00000,313.425,313.425,313.425,63.677,231.609,11.244,6.895,604.24,4096.0,2100.0
anticorr_q0772_tau0,anticorr,9900000,4096,1,0.0000,0.0000,0.00003,335.185,335.185,335.185,61.674,229.459,1.963,42.090,604.25,512.0,2100.0
anticorr_q0772_tau0,anticorr,9900000,32768,1,0.0000,0.0000,0.00004,332.743,332.743,332.743,62.044,234.611,11.965,24.124,604.25,4096.0,2100.0
anticorr_q0772_tau0.01,anticorr,9899747,4096,1,0.5000,0.0000,0.00341,331.286,331.286,331.286,62.617,227.568,2.011,39.090,604.23,512.0,2100.0
anticorr_q0772_tau0.01,anticorr,9899747,32768,1,0.9000,0.0000,0.00064,329.139,329.139,329.139,62.336,232.927,12.103,21.773,604.23,4096.0,2100.0
anticorr_q0772_tau0.03,anticorr,9900116,4096,1,1.0000,1.0000,0.00000,332.392,332.392,332.392,63.674,228.320,1.861,38.536,604.26,512.0,2100.0
anticorr_q0772_tau0.03,anticorr,9900116,32768,1,1.0000,1.0000,0.00000,314.122,314.122,314.122,61.457,231.166,12.117,9.382,604.26,4096.0,2100.0
anticorr_q0776_tau0,anticorr,9900000,4096,1,0.1000,0.0000,0.00004,325.783,325.783,325.783,62.194,228.421,1.925,33.242,604.25,512.0,2100.0
anticorr_q0776_tau0,anticorr,9900000,32768,1,0.0000,0.0000,0.00003,328.946,328.946,328.946,62.914,232.288,12.083,21.660,604.25,4096.0,2100.0
anticorr_q0776_tau0.01,anticorr,9899647,4096,1,0.7000,0.0000,0.00140,335.926,335.926,335.926,62.727,230.898,1.836,40.464,604.23,512.0,2100.0
anticorr_q0776_tau0.01,anticorr,9899647,32768,1,1.0000,1.0000,0.00000,329.961,329.961,329.961,63.993,232.135,12.011,21.822,604.23,4096.0,2100.0
anticorr_q0776_tau0.03,anticorr,9899743,4096,1,1.0000,1.0000,0.00000,323.832,323.832,323.832,63.976,228.301,1.594,29.961,604.23,512.0,2100.0
anticorr_q0776_tau0.03,anticorr,9899743,32768,1,1.0000,1.0000,0.00000,310.453,310.453,310.453,63.289,231.073,11.604,4.488,604.23,4096.0,2100.0
anticorr_q0777_tau0,anticorr,9900001,4096,1,0.0000,0.0000,0.00002,329.595,329.595,329.595,62.189,228.411,1.965,37.030,604.25,512.0,2100.0
anticorr_q0777_tau0,anticorr,9900001,32768,1,0.1000,0.0000,0.00002,329.943,329.943,329.943,62.584,231.497,12.787,23.074,604.25,4096.0,2100.0
anticorr_q0777_tau0.01,anticorr,9899827,4096,1,0.6000,0.0000,0.00203,330.660,330.660,330.660,63.327,227.462,1.891,37.981,604.24,512.0,2100.0
anticorr_q0777_tau0.01,anticorr,9899827,32768,1,0.9000,0.0000,0.00012,326.260,326.260,326.260,62.182,231.798,12.145,20.135,604.24,4096.0,2100.0
anticorr_q0777_tau0.03,anticorr,9899736,4096,1,1.0000,1.0000,0.00000,321.392,321.392,321.392,63.920,228.479,1.809,27.185,604.23,512.0,2100.0
anticorr_q0777_tau0.03,anticorr,9899736,32768,1,1.0000,1.0000,0.00000,313.960,313.960,313.960,62.812,230.678,11.592,8.878,604.23,4096.0,2100.0
anticorr_q0798_tau0,anticorr,9900000,4096,1,0.0000,0.0000,0.00007,331.333,331.333,331.333,62.784,228.234,2.099,38.217,604.25,512.0,2100.0
anticorr_q0798_tau0,anticorr,9900000,32768,1,0.1000,0.0000,0.00002,335.099,335.099,335.099,63.423,232.751,12.136,26.789,604.25,4096.0,2100.0
anticorr_q0798_tau0.01,anticorr,9899653,4096,1,0.7000,0.0000,0.00075,335.325,335.325,335.325,61.830,228.884,1.968,42.644,604.23,512.0,2100.0
anticorr_q0798_tau0.01,anticorr,9899653,32768,1,0.9000,0.0000,0.00032,326.540,326.540,326.540,62.057,231.770,12.167,20.547,604.23,4096.0,2100.0
anticorr_q0798_tau0.03,anticorr,9900398,4096,1,1.0000,1.0000,0.00000,327.385,327.385,327.385,63.053,228.087,1.902,34.342,604.27,512.0,2100.0
anticorr_q0798_tau0.03,anticorr,9900398,32768,1,1.0000,1.0000,0.00000,313.347,313.347,313.347,62.440,231.281,11.850,7.777,604.27,4096.0,2100.0
anticorr_q0804_tau0,anticorr,9900000,4096,1,0.0000,0.0000,0.00004,335.216,335.216,335.216,62.398,228.254,1.928,42.636,604.25,512.0,2100.0
anticorr_q0804_tau0,anticorr,9900000,32768,1,0.0000,0.0000,0.00005,334.404,334.404,334.404,62.209,231.200,12.637,28.357,604.25,4096.0,2100.0
anticorr_q0804_tau0.01,anticorr,9899438,4096,1,0.8000,0.0000,0.00030,333.593,333.593,333.593,61.284,228.202,1.894,42.212,604.21,512.0,2100.0
anticorr_q0804_tau0.01,anticorr,9899438,32768,1,1.0000,1.0000,0.00000,325.762,325.762,325.762,62.813,230.355,12.941,19.653,604.21,4096.0,2100.0
anticorr_q0804_tau0.03,anticorr,9900408,4096,1,1.0000,1.0000,0.00000,320.812,320.812,320.812,62.733,227.411,1.732,28.937,604.27,512.0,2100.0
anticorr_q0804_tau0.03,anticorr,9900408,32768,1,1.0000,1.0000,0.00000,314.553,314.553,314.553,65.383,232.123,11.094,5.952,604.27,4096.0,2100.0
anticorr_q0819_tau0,anticorr,9900000,4096,1,0.0000,0.0000,0.00004,333.596,333.596,333.596,63.425,227.996,1.965,40.210,604.25,512.0,2100.0
anticorr_q0819_tau0,anticorr,9900000,32768,1,0.0000,0.0000,0.00003,331.476,331.476,331.476,62.032,233.637,12.173,23.635,604.25,4096.0,2100.0
anticorr_q0819_tau0.01,anticorr,9899730,4096,1,0.3000,0.0000,0.00283,330.842,330.842,330.842,62.063,229.512,1.942,37.324,604.23,512.0,2100.0
anticorr_q0819_tau0.01,anticorr,9899730,32768,1,0.7000,0.0000,0.00061,323.204,323.204,323.204,62.615,230.518,11.848,18.223,604.23,4096.0,2100.0
anticorr_q0819_tau0.03,anticorr,9900218,4096,1,1.0000,1.0000,0.00000,315.531,315.531,315.531,64.048,229.135,1.774,20.574,604.26,512.0,2100.0
anticorr_q0819_tau0.03,anticorr,9900218,32768,1,1.0000,1.0000,0.00000,313.968,313.968,313.968,61.783,232.500,12.086,7.599,604.26,4096.0,2100.0
anticorr_q0823_tau0,anticorr,9900000,4096,1,0.0000,0.0000,0.00003,328.956,328.956,328.956,63.067,227.382,1.951,36.556,604.25,512.0,2100.0
anticorr_q0823_tau0,anticorr,9900000,32768,1,0.0000,0.0000,0.00005,327.948,327.948,327.948,62.902,230.678,11.835,22.533,604.25,4096.0,2100.0
anticorr_q0823_tau0.01,anticorr,9899861,4096,1,0.8000,0.0000,0.00046,324.728,324.728,324.728,62.077,228.093,2.034,32.524,604.24,512.0,2100.0
anticorr_q0823_tau0.01,anticorr,9899861,32768,1,1.0000,1.0000,0.00000,325.638,325.638,325.638,62.966,234.185,12.673,15.813,604.24,4096.0,2100.0
anticorr_q0823_tau0.03,anticorr,9899875,4096,1,1.0000,1.0000,0.00000,318.705,318.705,318.705,62.765,227.748,1.919,26.272,604.24,512.0,2100.0
anticorr_q0823_tau0.03,anticorr,9899875,32768,1,1.0000,1.0000,0.00000,314.849,314.849,314.849,63.570,231.109,12.232,7.938,604.24,4096.0,2100.0
anticorr_q0830_tau0,anticorr,9900000,4096,1,0.0000,0.0000,0.00006,329.486,329.486,329.486,63.608,227.491,1.944,36.443,604.25,512.0,2100.0
anticorr_q0830_tau0,anticorr,9900000,32768,1,0.0000,0.0000,0.00006,333.954,333.954,333.954,62.550,230.128,12.739,28.537,604.25,4096.0,2100.0
anticorr_q0830_tau0.01,anticorr,9899917,4096,1,0.6000,0.0000,0.00179,338.270,338.270,338.270,62.677,231.179,1.897,42.517,604.24,512.0,2100.0
anticorr_q0830_tau0.01,anticorr,9899917,32768,1,0.9000,0.0000,0.00011,326.294,326.294,326.294,62.812,232.226,12.355,18.902,604.24,4096.0,2100.0
anticorr_q0830_tau0.03,anticorr,9899898,4096,1,1.0000,1.0000,0.00000,322.858,322.858,322.858,63.844,229.144,1.767,28.103,604.24,512.0,2100.0
anticorr_q0830_tau0.03,anticorr,9899898,32768,1,1.0000,1.0000,0.00000,312.059,312.059,312.059,62.570,231.529,11.721,6.239,604.24,4096.0,2100.0
anticorr_q0835_tau0,anticorr,9900000,4096,1,0.0000,0.0000,0.00004,333.465,333.465,333.465,62.403,227.017,2.012,42.033,604.25,512.0,2100.0
anticorr_q0835_tau0,anticorr,9900000,32768,1,0.1000,0.0000,0.00002,338.808,338.808,338.808,63.272,233.180,12.115,30.240,604.25,4096.0,2100.0
anticorr_q0835_tau0.01,anticorr,9900310,4096,1,1.0000,1.0000,0.00000,334.025,334.025,334.025,63.765,227.783,1.914,40.562,604.27,512.0,2100.0
anticorr_q0835_tau0.01,anticorr,9900310,32768,1,1.0000,1.0000,0.00000,329.066,329.066,329.066,63.431,231.611,12.707,21.317,604.27,4096.0,2100.0
anticorr_q0835_tau0.03,anticorr,9899227,4096,1,1.0000,1.0000,0.00000,323.645,323.645,323.645,61.716,229.029,1.844,31.055,604.20,512.0,2100.0
anticorr_q0835_tau0.03,anticorr,9899227,32768,1,1.0000,1.0000,0.00000,310.542,310.542,310.542,62.616,229.637,11.670,6.619,604.20,4096.0,2100.0
anticorr_q0846_tau0,anticorr,9900001,4096,1,0.0000,0.0000,0.00007,329.289,329.289,329.289,62.450,231.461,1.896,33.482,604.25,512.0,2100.0
anticorr_q0846_tau0,anticorr,9900001,32768,1,0.0000,0.0000,0.00004,333.466,333.466,333.466,63.543,232.154,11.838,25.930,604.25,4096.0,2100.0
anticorr_q0846_tau0.01,anticorr,9899928,4096,1,0.5000,0.0000,0.00399,327.193,327.193,327.193,61.585,228.862,1.957,34.789,604.24,512.0,2100.0
anticorr_q0846_tau0.01,anticorr,9899928,32768,1,1.0000,1.0000,0.00000,326.931,326.931,326.931,62.352,231.076,13.267,20.237,604.24,4096.0,2100.0
anticorr_q0846_tau0.03,anticorr,9899958,4096,1,1.0000,1.0000,0.00000,321.677,321.677,321.677,62.145,228.216,1.849,29.468,604.25,512.0,2100.0
anticorr_q0846_tau0.03,anticorr,9899958,32768,1,1.0000,1.0000,0.00000,310.321,310.321,310.321,62.572,231.397,13.091,3.262,604.25,4096.0,2100.0
anticorr_q0856_tau0,anticorr,9900000,4096,1,0.0000,0.0000,0.00002,325.255,325.255,325.255,62.416,228.061,1.918,32.860,604.25,512.0,2100.0
anticorr_q0856_tau0,anticorr,9900000,32768,1,0.0000,0.0000,0.00003,330.037,330.037,330.037,62.817,231.609,14.213,21.399,604.25,4096.0,2100.0
anticorr_q0856_tau0.01,anticorr,9899480,4096,1,0.7000,0.0000,0.00091,322.819,322.819,322.819,63.297,228.171,1.970,29.381,604.22,512.0,2100.0
anticorr_q0856_tau0.01,anticorr,9899480,32768,1,0.9000,0.0000,0.00015,326.013,326.013,326.013,63.853,231.920,11.970,18.271,604.22,4096.0,2100.0
anticorr_q0856_tau0.03,anticorr,9900015,4096,1,1.0000,1.0000,0.00000,326.648,326.648,326.648,61.703,229.189,1.777,33.980,604.25,512.0,2100.0
anticorr_q0856_tau0.03,anticorr,9900015,32768,1,1.0000,1.0000,0.00000,320.454,320.454,320.454,64.244,232.222,12.243,11.746,604.25,4096.0,2100.0
anticorr_q0875_tau0,anticorr,9900000,4096,1,0.1000,0.0000,0.00005,334.030,334.030,334.030,61.903,229.392,2.069,40.667,604.25,512.0,2100.0
anticorr_q0875_tau0,anticorr,9900000,32768,1,0.1000,0.0000,0.00004,335.970,335.970,335.970,62.545,232.660,12.128,28.637,604.25,4096.0,2100.0
anticorr_q0875_tau0.01,anticorr,9900450,4096,1,0.6000,0.0000,0.00157,328.783,328.783,328.783,62.704,227.753,1.908,36.418,604.28,512.0,2100.0
anticorr_q0875_tau0.01,anticorr,9900450,32768,1,0.8000,0.0000,0.00046,326.225,326.225,326.225,63.564,230.835,12.069,19.757,604.28,4096.0,2100.0
anticorr_q0875_tau0.03,anticorr,9900620,4096,1,1.0000,1.0000,0.00000,325.281,325.281,325.281,61.511,229.428,1.778,32.563,604.29,512.0,2100.0
anticorr_q0875_tau0.03,anticorr,9900620,32768,1,1.0000,1.0000,0.00000,310.852,310.852,310.852,62.351,230.935,12.769,4.797,604.29,4096.0,2100.0
anticorr_q0886_tau0,anticorr,9900000,4096,1,0.0000,0.0000,0.00005,331.560,331.560,331.560,61.999,228.183,2.057,39.322,604.25,512.0,2100.0
anticorr_q0886_tau0,anticorr,9900000,32768,1,0.0000,0.0000,0.00003,331.804,331.804,331.804,63.278,231.257,12.302,24.966,604.25,4096.0,2100.0
anticorr_q0886_tau0.01,anticorr,9900045,4096,1,1.0000,1.0000,0.00000,330.772,330.772,330.772,62.492,228.223,1.874,38.183,604.25,512.0,2100.0
anticorr_q0886_tau0.01,anticorr,9900045,32768,1,1.0000,1.0000,0.00000,327.604,327.604,327.604,64.340,232.749,12.013,18.502,604.25,4096.0,2100.0
anticorr_q0886_tau0.03,anticorr,9900285,4096,1,1.0000,1.0000,0.00000,313.428,313.428,313.428,61.449,227.888,1.684,22.408,604.27,512.0,2100.0
anticorr_q0886_tau0.03,anticorr,9900285,32768,1,1.0000,1.0000,0.00000,308.838,308.838,308.838,62.700,230.394,11.830,3.915,604.27,4096.0,2100.0
anticorr_q0889_tau0,anticorr,9900002,4096,1,0.0000,0.0000,0.00005,324.312,324.312,324.312,62.651,228.263,1.923,31.475,604.25,512.0,2100.0
anticorr_q0889_tau0,anticorr,9900002,32768,1,0.1000,0.0000,0.00003,329.091,329.091,329.091,62.740,231.422,11.731,23.197,604.25,4096.0,2100.0
anticorr_q0889_tau0.01,anticorr,9900138,4096,1,0.8000,0.0000,0.00070,331.586,331.586,331.586,64.291,229.741,1.772,35.782,604.26,512.0,2100.0
anticorr_q0889_tau0.01,anticorr,9900138,32768,1,0.9000,0.0000,0.00003,321.275,321.275,321.275,62.973,231.292,12.334,14.677,604.26,4096.0,2100.0
anticorr_q0889_tau0.03,anticorr,9899382,4096,1,1.0000,1.0000,0.00000,322.374,322.374,322.374,62.983,228.685,1.711,28.995,604.21,512.0,2100.0
anticorr_q0889_tau0.03,anticorr,9899382,32768,1,1.0000,1.0000,0.00000,310.544,310.544,310.544,62.786,232.208,11.328,4.222,604.21,4096.0,2100.0
anticorr_q0893_tau0,anticorr,9900000,4096,1,0.1000,0.0000,0.00010,332.768,332.768,332.768,62.338,228.011,1.962,40.457,604.25,512.0,2100.0
anticorr_q0893_tau0,anticorr,9900000,32768,1,0.0000,0.0000,0.00007,332.736,332.736,332.736,63.485,234.554,12.126,22.570,604.25,4096.0,2100.0
anticorr_q0893_tau0.01,anticorr,9899771,4096,1,0.9000,0.0000,0.00012,326.858,326.858,326.858,63.080,228.973,1.952,32.852,604.23,512.0,2100.0
anticorr_q0893_tau0.01,anticorr,9899771,32768,1,1.0000,1.0000,0.00000,322.609,322.609,322.609,62.422,232.086,11.838,16.263,604.23,4096.0,2100.0
anticorr_q0893_tau0.03,anticorr,9899877,4096,1,1.0000,1.0000,0.00000,317.747,317.747,317.747,62.162,227.406,1.671,26.508,604.24,512.0,2100.0
anticorr_q0893_tau0.03,anticorr,9899877,32768,1,1.0000,1.0000,0.00000,310.563,310.563,310.563,64.133,231.444,11.565,3.421,604.24,4096.0,2100.0
anticorr_q0918_tau0,anticorr,9900000,4096,1,0.1000,0.0000,0.00007,330.166,330.166,330.166,61.401,232.500,1.965,34.300,604.25,512.0,2100.0
anticorr_q0918_tau0,anticorr,9900000,32768,1,0.2000,0.0000,0.00003,329.643,329.643,329.643,62.389,231.955,13.187,22.111,604.25,4096.0,2100.0
anticorr_q0918_tau0.01,anticorr,9900363,4096,1,0.3000,0.0000,0.00355,325.175,325.175,325.175,62.661,227.333,2.041,33.141,604.27,512.0,2100.0
anticorr_q0918_tau0.01,anticorr,9900363,32768,1,0.8000,0.0000,0.00109,319.544,319.544,319.544,62.936,231.490,11.756,13.362,604.27,4096.0,2100.0
anticorr_q0918_tau0.03,anticorr,9899758,4096,1,0.9000,0.0000,0.00030,314.639,314.639,314.639,62.217,227.679,1.929,22.814,604.23,512.0,2100.0
anticorr_q0918_tau0.03,anticorr,9899758,32768,1,1.0000,1.0000,0.00000,316.767,316.767,316.767,62.882,233.087,13.342,7.456,604.23,4096.0,2100.0
anticorr_q0922_tau0,anticorr,9900000,4096,1,0.0000,0.0000,0.00006,331.558,331.558,331.558,63.117,229.264,1.973,37.205,604.25,512.0,2100.0
anticorr_q0922_tau0,anticorr,9900000,32768,1,0.0000,0.0000,0.00006,336.033,336.033,336.033,62.758,230.545,11.999,30.731,604.25,4096.0,2100.0
anticorr_q0922_tau0.01,anticorr,9900170,4096,1,0.7000,0.0000,0.00193,333.661,333.661,333.661,62.697,227.319,1.932,41.714,604.26,512.0,2100.0
anticorr_q0922_tau0.01,anticorr,9900170,32768,1,0.9000,0.0000,0.00024,329.411,329.411,329.411,63.544,230.596,12.548,22.723,604.26,4096.0,2100.0
anticorr_q0922_tau0.03,anticorr,9900568,4096,1,1.0000,1.0000,0.00000,330.461,330.461,330.461,63.106,230.868,1.750,34.737,604.28,512.0,2100.0
anticorr_q0922_tau0.03,anticorr,9900568,32768,1,1.0000,1.0000,0.00000,317.655,317.655,317.655,64.830,229.721,12.241,10.864,604.28,4096.0,2100.0
anticorr_q0932_tau0,anticorr,9900000,4096,1,0.0000,0.0000,0.00004,349.180,349.180,349.180,61.955,242.030,1.992,43.204,604.25,512.0,2100.0
anticorr_q0932_tau0,anticorr,9900000,32768,1,0.0000,0.0000,0.00004,333.424,333.424,333.424,62.712,230.696,11.778,28.238,604.25,4096.0,2100.0
anticorr_q0932_tau0.01,anticorr,9900067,4096,1,0.7000,0.0000,0.00041,322.397,322.397,322.397,62.852,227.535,1.884,30.125,604.25,512.0,2100.0
anticorr_q0932_tau0.01,anticorr,9900067,32768,1,1.0000,1.0000,0.00000,320.120,320.120,320.120,62.035,232.505,12.186,13.394,604.25,4096.0,2100.0
anticorr_q0932_tau0.03,anticorr,9900145,4096,1,0.9000,0.0000,0.00012,314.734,314.734,314.734,63.527,229.279,1.713,20.215,604.26,512.0,2100.0
anticorr_q0932_tau0.03,anticorr,9900145,32768,1,1.0000,1.0000,0.00000,310.675,310.675,310.675,62.066,230.456,11.530,6.623,604.26,4096.0,2100.0
anticorr_q0950_tau0,anticorr,9900000,4096,1,0.0000,0.0000,0.00004,320.840,320.840,320.840,62.846,227.987,1.843,28.164,604.25,512.0,2100.0
anticorr_q0950_tau0,anticorr,9900000,32768,1,0.0000,0.0000,0.00004,326.884,326.884,326.884,64.190,231.289,11.659,19.745,604.25,4096.0,2100.0
anticorr_q0950_tau0.01,anticorr,9899997,4096,1,0.9000,0.0000,0.00004,319.017,319.017,319.017,62.376,229.870,1.901,24.869,604.25,512.0,2100.0
anticorr_q0950_tau0.01,anticorr,9899997,32768,1,1.0000,1.0000,0.00000,324.091,324.091,324.091,64.216,231.928,12.963,14.984,604.25,4096.0,2100.0
anticorr_q0950_tau0.03,anticorr,9899843,4096,1,1.0000,1.0000,0.00000,312.769,312.769,312.769,61.714,228.422,1.629,21.003,604.24,512.0,2100.0
anticorr_q0950_tau0.03,anticorr,9899843,32768,1,1.0000,1.0000,0.00000,310.651,310.651,310.651,62.910,232.188,12.290,3.263,604.24,4096.0,2100.0
anticorr_q0963_tau0,anticorr,9900001,4096,1,0.0000,0.0000,0.00007,329.706,329.706,329.706,63.902,228.205,1.870,35.730,604.25,512.0,2100.0
anticorr_q0963_tau0,anticorr,9900001,32768,1,0.1000,0.0000,0.00003,333.367,333.367,333.367,63.362,231.505,12.323,26.177,604.25,4096.0,2100.0
anticorr_q0963_tau0.01,anticorr,9899848,4096,1,0.5000,0.0000,0.00303,331.674,331.674,331.674,63.617,228.614,1.935,37.508,604.24,512.0,2100.0
