filter,family,size,b1,queries,recall_at_10,perfect_frac,sim_regret,p50_ms,p95_ms,p99_ms,allow_iter_p50_ms,stage1_p50_ms,stage2_p50_ms,stage3_p50_ms,stage1_mb_per_q,stage2_kb_per_q,stage3_kb_per_q
anticorr_q0552_tau0,anticorr,9900001,32768,1,0.0000,0.0000,0.00004,332.986,332.986,332.986,64.475,232.386,11.753,24.373,604.25,4096.0,2100.0
anticorr_q0552_tau0.01,anticorr,9899888,4096,1,0.8000,0.0000,0.00219,328.325,328.325,328.325,62.915,228.309,2.020,35.080,604.24,512.0,2100.0
anticorr_q0552_tau0.01,anticorr,9899888,32768,1,1.0000,1.0000,0.00000,321.435,321.435,321.435,62.054,231.801,12.056,15.523,604.24,4096.0,2100.0
anticorr_q0552_tau0.03,anticorr,9899649,4096,1,1.0000,1.0000,0.00000,322.734,322.734,322.734,63.292,228.768,1.950,28.725,604.23,512.0,2100.0
anticorr_q0552_tau0.03,anticorr,9899649,32768,1,1.0000,1.0000,0.00000,315.092,315.092,315.092,62.790,231.431,11.852,9.020,604.23,4096.0,2100.0
anticorr_q0591_tau0,anticorr,9900000,4096,1,0.0000,0.0000,0.00004,333.493,333.493,333.493,63.672,227.679,2.032,40.109,604.25,512.0,2100.0
anticorr_q0591_tau0,anticorr,9900000,32768,1,0.1000,0.0000,0.00003,331.998,331.998,331.998,63.433,231.058,11.707,25.800,604.25,4096.0,2100.0
anticorr_q0591_tau0.01,anticorr,9900154,4096,1,0.8000,0.0000,0.00028,331.664,331.664,331.664,62.607,228.865,1.967,38.225,604.26,512.0,2100.0
anticorr_q0591_tau0.01,anticorr,9900154,32768,1,1.0000,1.0000,0.00000,328.171,328.171,328.171,63.845,230.388,12.317,21.620,604.26,4096.0,2100.0
anticorr_q0591_tau0.03,anticorr,9900140,4096,1,1.0000,1.0000,0.00000,321.505,321.505,321.505,63.440,229.468,1.806,26.791,604.26,512.0,2100.0
anticorr_q0591_tau0.03,anticorr,9900140,32768,1,1.0000,1.0000,0.00000,313.784,313.784,313.784,62.876,233.072,12.404,5.433,604.26,4096.0,2100.0
anticorr_q0593_tau0,anticorr,9900000,4096,1,0.1000,0.0000,0.00003,321.418,321.418,321.418,62.679,229.180,1.926,27.633,604.25,512.0,2100.0
anticorr_q0593_tau0,anticorr,9900000,32768,1,0.1000,0.0000,0.00002,328.835,328.835,328.835,61.743,233.184,11.837,22.071,604.25,4096.0,2100.0
anticorr_q0593_tau0.01,anticorr,9900414,4096,1,0.8000,0.0000,0.00070,323.012,323.012,323.012,61.997,228.876,1.889,30.249,604.27,512.0,2100.0
anticorr_q0593_tau0.01,anticorr,9900414,32768,1,0.9000,0.0000,0.00003,319.925,319.925,319.925,62.173,231.183,13.119,13.450,604.27,4096.0,2100.0
anticorr_q0593_tau0.03,anticorr,9900005,4096,1,1.0000,1.0000,0.00000,316.335,316.335,316.335,61.901,233.579,1.627,19.229,604.25,512.0,2100.0
anticorr_q0593_tau0.03,anticorr,9900005,32768,1,1.0000,1.0000,0.00000,307.949,307.949,307.949,63.007,230.604,11.295,3.044,604.25,4096.0,2100.0
anticorr_q0596_tau0,anticorr,9900000,4096,1,0.0000,0.0000,0.00004,335.020,335.020,335.020,64.204,228.615,1.913,40.288,604.25,512.0,2100.0
