method,filter,family,size,b1,queries,recall_at_10,perfect_frac,sim_regret,p50_ms,p95_ms,p99_ms,allow_iter_p50_ms,stage1_p50_ms,stage2_p50_ms,stage3_p50_ms,stage1_mb_per_q,stage2_kb_per_q,stage3_kb_per_q
acorn-ef512,random_1m,random,1000000,0,1000,0.9962,0.9650,0.00004,20.141,27.389,30.334,0.000,20.141,0.000,0.000,0.00,0.0,0.0
acorn-ef64,random_2m,random,2000000,0,1000,0.9674,0.8000,0.00024,2.177,3.058,3.519,0.000,2.177,0.000,0.000,0.00,0.0,0.0
acorn-ef128,random_2m,random,2000000,0,1000,0.9845,0.8900,0.00011,3.397,4.706,5.346,0.000,3.397,0.000,0.000,0.00,0.0,0.0
acorn-ef256,random_2m,random,2000000,0,1000,0.9919,0.9360,0.00006,6.145,8.398,9.683,0.000,6.145,0.000,0.000,0.00,0.0,0.0
acorn-ef512,random_2m,random,2000000,0,1000,0.9953,0.9580,0.00004,11.336,15.538,17.043,0.000,11.336,0.000,0.000,0.00,0.0,0.0
acorn-ef64,random_400k,random,400000,0,1000,0.9749,0.8340,0.00012,6.623,9.653,10.964,0.000,6.623,0.000,0.000,0.00,0.0,0.0
acorn-ef128,random_400k,random,400000,0,1000,0.9912,0.9230,0.00005,12.184,17.273,19.992,0.000,12.184,0.000,0.000,0.00,0.0,0.0
acorn-ef256,random_400k,random,400000,0,1000,0.9961,0.9630,0.00002,23.327,32.746,39.281,0.000,23.327,0.000,0.000,0.00,0.0,0.0
acorn-ef512,random_400k,random,400000,0,1000,0.9987,0.9870,0.00001,44.718,58.533,64.386,0.000,44.718,0.000,0.000,0.00,0.0,0.0
acorn-ef64,random_40k,random,40000,0,1000,0.9835,0.8690,0.00007,55.637,75.911,83.135,0.000,55.637,0.000,0.000,0.00,0.0,0.0
acorn-ef128,random_40k,random,40000,0,1000,0.9957,0.9610,0.00003,106.775,138.132,159.418,0.000,106.775,0.000,0.000,0.00,0.0,0.0
acorn-ef256,random_40k,random,40000,0,1000,0.9984,0.9850,0.00001,204.899,260.589,280.113,0.000,204.899,0.000,0.000,0.00,0.0,0.0
acorn-ef512,random_40k,random,40000,0,1000,0.9993,0.9930,0.00001,391.242,477.366,509.738,0.000,391.242,0.000,0.000,0.00,0.0,0.0
acorn-ef64,random_5m,random,5000000,0,1000,0.9713,0.8320,0.00033,1.163,1.710,2.133,0.000,1.163,0.000,0.000,0.00,0.0,0.0
acorn-ef128,random_5m,random,5000000,0,1000,0.9839,0.9030,0.00023,1.691,2.500,4.107,0.000,1.691,0.000,0.000,0.00,0.0,0.0
acorn-ef256,random_5m,random,5000000,0,1000,0.9896,0.9310,0.00016,3.005,4.177,4.763,0.000,3.005,0.000,0.000,0.00,0.0,0.0
acorn-ef512,random_5m,random,5000000,0,1000,0.9940,0.9530,0.00006,5.511,7.585,8.725,0.000,5.511,0.000,0.000,0.00,0.0,0.0
acorn-ef64,topical_100k_a,topical,100006,0,1000,0.9760,0.8180,0.00011,103.305,299.353,383.087,0.000,103.305,0.000,0.000,0.00,0.0,0.0
acorn-ef128,topical_100k_a,topical,100006,0,1000,0.9920,0.9310,0.00005,181.010,491.502,617.977,0.000,181.010,0.000,0.000,0.00,0.0,0.0
acorn-ef256,topical_100k_a,topical,100006,0,1000,0.9969,0.9740,0.00002,306.790,762.596,969.604,0.000,306.790,0.000,0.000,0.00,0.0,0.0
acorn-ef512,topical_100k_a,topical,100006,0,1000,0.9988,0.9890,0.00001,509.710,1195.472,1463.313,0.000,509.710,0.000,0.000,0.00,0.0,0.0
acorn-ef64,topical_100k_b,topical,100000,0,1000,0.9676,0.7580,0.00014,44.607,129.608,174.873,0.000,44.607,0.000,0.000,0.00,0.0,0.0
acorn-ef128,topical_100k_b,topical,100000,0,1000,0.9901,0.9160,0.00005,78.851,203.824,262.999,0.000,78.851,0.000,0.000,0.00,0.0,0.0
acorn-ef256,topical_100k_b,topical,100000,0,1000,0.9967,0.9670,0.00002,141.729,334.467,410.638,0.000,141.729,0.000,0.000,0.00,0.0,0.0
acorn-ef512,topical_100k_b,topical,100000,0,1000,0.9983,0.9830,0.00001,246.191,539.444,638.993,0.000,246.191,0.000,0.000,0.00,0.0,0.0
acorn-ef64,topical_10k_a,topical,10002,0,1000,0.9860,0.8810,0.00004,0.908,1.277,1.550,0.000,0.908,0.000,0.000,0.00,0.0,0.0
acorn-ef128,topical_10k_a,topical,10002,0,1000,0.9984,0.9840,0.00000,0.953,1.169,1.240,0.000,0.953,0.000,0.000,0.00,0.0,0.0
acorn-ef256,topical_10k_a,topical,10002,0,1000,0.9998,0.9980,0.00000,1.088,1.283,1.456,0.000,1.088,0.000,0.000,0.00,0.0,0.0
acorn-ef512,topical_10k_a,topical,10002,0,1000,0.9998,0.9980,-0.00000,1.354,1.460,1.686,0.000,1.354,0.000,0.000,0.00,0.0,0.0
acorn-ef64,topical_10k_b,topical,10001,0,1000,0.9856,0.8760,0.00004,0.910,1.324,1.615,0.000,0.910,0.000,0.000,0.00,0.0,0.0
acorn-ef128,topical_10k_b,topical,10001,0,1000,0.9983,0.9840,0.00000,0.955,1.150,1.223,0.000,0.955,0.000,0.000,0.00,0.0,0.0
acorn-ef256,topical_10k_b,topical,10001,0,1000,0.9999,0.9990,0.00000,1.093,1.284,1.535,0.000,1.093,0.000,0.000,0.00,0.0,0.0
acorn-ef512,topical_10k_b,topical,10001,0,1000,0.9999,0.9990,0.00000,1.362,1.491,1.639,0.000,1.362,0.000,0.000,0.00,0.0,0.0
acorn-ef64,topical_1m_a,topical,1000003,0,1000,0.9611,0.7600,0.00029,6.832,20.304,29.798,0.000,6.832,0.000,0.000,0.00,0.0,0.0
acorn-ef128,topical_1m_a,topical,1000003,0,1000,0.9825,0.8790,0.00018,11.537,34.086,45.508,0.000,11.537,0.000,0.000,0.00,0.0,0.0
acorn-ef256,topical_1m_a,topical,1000003,0,1000,0.9918,0.9440,0.00014,21.184,59.527,80.494,0.000,21.184,0.000,0.000,0.00,0.0,0.0
acorn-ef512,topical_1m_a,topical,1000003,0,1000,0.9952,0.9650,0.00005,38.034,98.739,122.450,0.000,38.034,0.000,0.000,0.00,0.0,0.0
acorn-ef64,topical_1m_b,topical,1000013,0,1000,0.9620,0.7560,0.00026,5.177,14.259,20.122,0.000,5.177,0.000,0.000,0.00,0.0,0.0
acorn-ef128,topical_1m_b,topical,1000013,0,1000,0.9837,0.8810,0.00016,9.334,23.354,32.155,0.000,9.334,0.000,0.000,0.00,0.0,0.0
acorn-ef256,topical_1m_b,topical,1000013,0,1000,0.9934,0.9470,0.00004,17.207,39.695,53.868,0.000,17.207,0.000,0.000,0.00,0.0,0.0
acorn-ef512,topical_1m_b,topical,1000013,0,1000,0.9958,0.9640,0.00003,31.842,69.577,93.007,0.000,31.842,0.000,0.000,0.00,0.0,0.0
acorn-ef64,topical_2m_a,topical,2000088,0,1000,0.9576,0.7370,0.00026,2.616,5.937,8.070,0.000,2.616,0.000,0.000,0.00,0.0,0.0
acorn-ef128,topical_2m_a,topical,2000088,0,1000,0.9789,0.8460,0.00013,4.438,10.009,13.007,0.000,4.438,0.000,0.000,0.00,0.0,0.0
acorn-ef256,topical_2m_a,topical,2000088,0,1000,0.9891,0.9190,0.00008,8.015,17.650,22.334,0.000,8.015,0.000,0.000,0.00,0.0,0.0
acorn-ef512,topical_2m_a,topical,2000088,0,1000,0.9938,0.9490,0.00004,14.467,29.758,36.021,0.000,14.467,0.000,0.000,0.00,0.0,0.0
acorn-ef64,topical_2m_b,topical,2000000,0,1000,0.9651,0.7830,0.00020,1.646,5.335,6.883,0.000,1.646,0.000,0.000,0.00,0.0,0.0
acorn-ef128,topical_2m_b,topical,2000000,0,1000,0.9826,0.8750,0.00011,2.956,9.545,12.066,0.000,2.956,0.000,0.000,0.00,0.0,0.0
acorn-ef256,topical_2m_b,topical,2000000,0,1000,0.9904,0.9220,0.00006,5.477,16.720,21.192,0.000,5.477,0.000,0.000,0.00,0.0,0.0
