method,filter,family,size,recall_at_10,sim_regret,p50_ms,p95_ms,p99_ms
scan-b4096,anticorr_q0846_tau0.03,anticorr,9899958,1.0000,,420.326,420.326,420.326
scan-b4096,anticorr_q0856_tau0,anticorr,9900000,0.0000,,454.771,454.771,454.771
scan-b4096,anticorr_q0856_tau0.01,anticorr,9899480,0.7000,,434.361,434.361,434.361
scan-b4096,anticorr_q0856_tau0.03,anticorr,9900015,1.0000,,418.591,418.591,418.591
scan-b4096,anticorr_q0875_tau0,anticorr,9900000,0.1000,,420.041,420.041,420.041
scan-b4096,anticorr_q0875_tau0.01,anticorr,9900450,0.6000,,392.482,392.482,392.482
scan-b4096,anticorr_q0875_tau0.03,anticorr,9900620,1.0000,,386.571,386.571,386.571
scan-b4096,anticorr_q0886_tau0,anticorr,9900000,0.0000,,401.088,401.088,401.088
scan-b4096,anticorr_q0886_tau0.01,anticorr,9900045,1.0000,,394.249,394.249,394.249
scan-b4096,anticorr_q0886_tau0.03,anticorr,9900285,1.0000,,384.319,384.319,384.319
scan-b4096,anticorr_q0889_tau0,anticorr,9900002,0.0000,,390.422,390.422,390.422
scan-b4096,anticorr_q0889_tau0.01,anticorr,9900138,0.9000,,371.221,371.221,371.221
scan-b4096,anticorr_q0889_tau0.03,anticorr,9899382,1.0000,,402.047,402.047,402.047
scan-b4096,anticorr_q0893_tau0,anticorr,9900000,0.1000,,425.465,425.465,425.465
scan-b4096,anticorr_q0893_tau0.01,anticorr,9899771,1.0000,,414.258,414.258,414.258
scan-b4096,anticorr_q0893_tau0.03,anticorr,9899877,1.0000,,374.228,374.228,374.228
scan-b4096,anticorr_q0918_tau0,anticorr,9900000,0.1000,,375.587,375.587,375.587
scan-b4096,anticorr_q0918_tau0.01,anticorr,9900363,0.6000,,436.738,436.738,436.738
scan-b4096,anticorr_q0918_tau0.03,anticorr,9899758,1.0000,,448.670,448.670,448.670
scan-b4096,anticorr_q0922_tau0,anticorr,9900000,0.0000,,394.977,394.977,394.977
scan-b4096,anticorr_q0922_tau0.01,anticorr,9900170,0.7000,,419.972,419.972,419.972
scan-b4096,anticorr_q0922_tau0.03,anticorr,9900568,1.0000,,391.146,391.146,391.146
scan-b4096,anticorr_q0932_tau0,anticorr,9900000,0.0000,,380.123,380.123,380.123
scan-b4096,anticorr_q0932_tau0.01,anticorr,9900067,0.7000,,459.437,459.437,459.437
scan-b4096,anticorr_q0932_tau0.03,anticorr,9900145,1.0000,,410.325,410.325,410.325
scan-b4096,anticorr_q0950_tau0,anticorr,9900000,0.0000,,404.372,404.372,404.372
scan-b4096,anticorr_q0950_tau0.01,anticorr,9899997,0.9000,,393.635,393.635,393.635
scan-b4096,anticorr_q0950_tau0.03,anticorr,9899843,1.0000,,388.583,388.583,388.583
scan-b4096,anticorr_q0963_tau0,anticorr,9900001,0.0000,,353.966,353.966,353.966
scan-b4096,anticorr_q0963_tau0.01,anticorr,9899848,0.5000,,395.391,395.391,395.391
scan-b4096,anticorr_q0963_tau0.03,anticorr,9900698,1.0000,,391.437,391.437,391.437
scan-b4096,anticorr_q0964_tau0,anticorr,9900002,0.0000,,417.558,417.558,417.558
scan-b4096,anticorr_q0964_tau0.01,anticorr,9899817,0.8000,,380.939,380.939,380.939
scan-b4096,anticorr_q0964_tau0.03,anticorr,9900167,1.0000,,393.167,393.167,393.167
scan-b4096,anticorr_q0979_tau0,anticorr,9900000,0.1000,,397.982,397.982,397.982
scan-b4096,anticorr_q0979_tau0.01,anticorr,9899791,0.7000,,449.594,449.594,449.594
scan-b4096,anticorr_q0979_tau0.03,anticorr,9899513,1.0000,,404.237,404.237,404.237
acorn-ef64,conj_topical100k_a_idlo,conjunction,54805,0.9793,0.00009,179.415,476.769,594.478
acorn-ef128,conj_topical100k_a_idlo,conjunction,54805,0.9934,0.00004,289.845,719.553,853.197
acorn-ef256,conj_topical100k_a_idlo,conjunction,54805,0.9973,0.00001,495.333,1144.825,1496.743
acorn-ef512,conj_topical100k_a_idlo,conjunction,54805,0.9991,0.00001,798.620,1729.083,2137.285
acorn-ef64,conj_topical1m_a_idlo,conjunction,531538,0.9646,0.00027,11.702,41.440,61.743
acorn-ef128,conj_topical1m_a_idlo,conjunction,531538,0.9837,0.00017,20.272,69.730,96.325
acorn-ef256,conj_topical1m_a_idlo,conjunction,531538,0.9914,0.00013,37.259,112.989,157.986
acorn-ef512,conj_topical1m_a_idlo,conjunction,531538,0.9946,0.00005,68.227,181.782,237.197
acorn-ef64,conj_topical1m_a_idmid,conjunction,238360,0.9688,0.00014,20.455,66.856,90.801
acorn-ef128,conj_topical1m_a_idmid,conjunction,238360,0.9890,0.00006,36.682,109.870,147.554
acorn-ef256,conj_topical1m_a_idmid,conjunction,238360,0.9952,0.00004,66.750,182.106,225.849
acorn-ef512,conj_topical1m_a_idmid,conjunction,238360,0.9976,0.00001,122.163,291.605,366.634
acorn-ef64,conj_topical2m_b_idlo,conjunction,175180,0.9797,0.00008,10.949,50.674,64.048
acorn-ef128,conj_topical2m_b_idlo,conjunction,175180,0.9945,0.00001,20.816,85.056,101.626
acorn-ef256,conj_topical2m_b_idlo,conjunction,175180,0.9989,0.00000,39.548,146.124,184.594
acorn-ef512,conj_topical2m_b_idlo,conjunction,175180,0.9995,0.00000,77.777,251.756,302.448
acorn-ef64,conj_topical400k_a_idhi,conjunction,205530,0.9670,0.00015,19.077,59.121,89.197
acorn-ef128,conj_topical400k_a_idhi,conjunction,205530,0.9875,0.00007,32.188,96.160,127.860
acorn-ef256,conj_topical400k_a_idhi,conjunction,205530,0.9960,0.00003,60.028,160.710,210.144
acorn-ef512,conj_topical400k_a_idhi,conjunction,205530,0.9977,0.00002,105.481,276.163,337.368
acorn-ef64,conj_topical5m_a_idlo,conjunction,911207,0.9678,0.00018,3.239,6.688,10.427
acorn-ef128,conj_topical5m_a_idlo,conjunction,911207,0.9862,0.00009,5.205,11.664,18.748
acorn-ef256,conj_topical5m_a_idlo,conjunction,911207,0.9932,0.00005,9.599,20.253,30.317
acorn-ef512,conj_topical5m_a_idlo,conjunction,911207,0.9972,0.00003,17.828,36.815,52.557
acorn-ef64,random_100k,random,100000,0.9820,0.00008,23.640,33.348,38.353
acorn-ef128,random_100k,random,100000,0.9951,0.00003,45.266,61.171,69.214
acorn-ef256,random_100k,random,100000,0.9986,0.00001,87.031,112.158,123.556
acorn-ef512,random_100k,random,100000,0.9995,0.00000,167.092,209.701,230.233
acorn-ef64,random_10k,random,10000,0.9934,0.00002,1.580,2.267,2.986
acorn-ef128,random_10k,random,10000,0.9991,0.00000,1.427,2.065,2.278
acorn-ef256,random_10k,random,10000,0.9999,0.00000,1.591,2.271,2.450
acorn-ef512,random_10k,random,10000,1.0000,0.00000,2.013,2.548,2.728
acorn-ef64,random_1m,random,1000000,0.9746,0.00015,3.490,4.925,5.675
acorn-ef128,random_1m,random,1000000,0.9889,0.00008,5.807,7.869,8.877
acorn-ef256,random_1m,random,1000000,0.9937,0.00005,10.907,14.899,17.060
acorn-ef512,random_1m,random,1000000,0.9962,0.00004,20.141,27.389,30.334
acorn-ef64,random_2m,random,2000000,0.9674,0.00024,2.177,3.058,3.519
acorn-ef128,random_2m,random,2000000,0.9845,0.00011,3.397,4.706,5.346
acorn-ef256,random_2m,random,2000000,0.9919,0.00006,6.145,8.398,9.683
acorn-ef512,random_2m,random,2000000,0.9953,0.00004,11.336,15.538,17.043
acorn-ef64,random_400k,random,400000,0.9749,0.00012,6.623,9.653,10.964
acorn-ef128,random_400k,random,400000,0.9912,0.00005,12.184,17.273,19.992
acorn-ef256,random_400k,random,400000,0.9961,0.00002,23.327,32.746,39.281
acorn-ef512,random_400k,random,400000,0.9987,0.00001,44.718,58.533,64.386
acorn-ef64,random_40k,random,40000,0.9835,0.00007,55.637,75.911,83.135
acorn-ef128,random_40k,random,40000,0.9957,0.00003,106.775,138.132,159.418
acorn-ef256,random_40k,random,40000,0.9984,0.00001,204.899,260.589,280.113
acorn-ef512,random_40k,random,40000,0.9993,0.00001,391.242,477.366,509.738
acorn-ef64,random_5m,random,5000000,0.9713,0.00033,1.163,1.710,2.133
acorn-ef128,random_5m,random,5000000,0.9839,0.00023,1.691,2.500,4.107
acorn-ef256,random_5m,random,5000000,0.9896,0.00016,3.005,4.177,4.763
acorn-ef512,random_5m,random,5000000,0.9940,0.00006,5.511,7.585,8.725
acorn-ef64,topical_100k_a,topical,100006,0.9760,0.00011,103.305,299.353,383.087
acorn-ef128,topical_100k_a,topical,100006,0.9920,0.00005,181.010,491.502,617.977
acorn-ef256,topical_100k_a,topical,100006,0.9969,0.00002,306.790,762.596,969.604
acorn-ef512,topical_100k_a,topical,100006,0.9988,0.00001,509.710,1195.472,1463.313
acorn-ef64,topical_100k_b,topical,100000,0.9676,0.00014,44.607,129.608,174.873
acorn-ef128,topical_100k_b,topical,100000,0.9901,0.00005,78.851,203.824,262.999
acorn-ef256,topical_100k_b,topical,100000,0.9967,0.00002,141.729,334.467,410.638
acorn-ef512,topical_100k_b,topical,100000,0.9983,0.00001,246.191,539.444,638.993
acorn-ef64,topical_10k_a,topical,10002,0.9860,0.00004,0.908,1.277,1.550
acorn-ef128,topical_10k_a,topical,10002,0.9984,0.00000,0.953,1.169,1.240
acorn-ef256,topical_10k_a,topical,10002,0.9998,0.00000,1.088,1.283,1.456
acorn-ef512,topical_10k_a,topical,10002,0.9998,-0.00000,1.354,1.460,1.686
acorn-ef64,topical_10k_b,topical,10001,0.9856,0.00004,0.910,1.324,1.615
acorn-ef128,topical_10k_b,topical,10001,0.9983,0.00000,0.955,1.150,1.223
acorn-ef256,topical_10k_b,topical,10001,0.9999,0.00000,1.093,1.284,1.535
acorn-ef512,topical_10k_b,topical,10001,0.9999,0.00000,1.362,1.491,1.639
acorn-ef64,topical_1m_a,topical,1000003,0.9611,0.00029,6.832,20.304,29.798
acorn-ef128,topical_1m_a,topical,1000003,0.9825,0.00018,11.537,34.086,45.508
acorn-ef256,topical_1m_a,topical,1000003,0.9918,0.00014,21.184,59.527,80.494
acorn-ef512,topical_1m_a,topical,1000003,0.9952,0.00005,38.034,98.739,122.450
acorn-ef64,topical_1m_b,topical,1000013,0.9620,0.00026,5.177,14.259,20.122
acorn-ef128,topical_1m_b,topical,1000013,0.9837,0.00016,9.334,23.354,32.155
acorn-ef256,topical_1m_b,topical,1000013,0.9934,0.00004,17.207,39.695,53.868
acorn-ef512,topical_1m_b,topical,1000013,0.9958,0.00003,31.842,69.577,93.007
acorn-ef64,topical_2m_a,topical,2000088,0.9576,0.00026,2.616,5.937,8.070
acorn-ef128,topical_2m_a,topical,2000088,0.9789,0.00013,4.438,10.009,13.007
acorn-ef256,topical_2m_a,topical,2000088,0.9891,0.00008,8.015,17.650,22.334
acorn-ef512,topical_2m_a,topical,2000088,0.9938,0.00004,14.467,29.758,36.021
acorn-ef64,topical_2m_b,topical,2000000,0.9651,0.00020,1.646,5.335,6.883
acorn-ef128,topical_2m_b,topical,2000000,0.9826,0.00011,2.956,9.545,12.066
acorn-ef256,topical_2m_b,topical,2000000,0.9904,0.00006,5.477,16.720,21.192
acorn-ef512,topical_2m_b,topical,2000000,0.9945,0.00004,10.281,29.618,35.785
acorn-ef64,topical_400k_a,topical,400020,0.9612,0.00019,9.235,29.488,39.980
acorn-ef128,topical_400k_a,topical,400020,0.9867,0.00007,16.506,50.851,66.319
acorn-ef256,topical_400k_a,topical,400020,0.9938,0.00004,29.681,89.039,115.001
acorn-ef512,topical_400k_a,topical,400020,0.9967,0.00002,54.427,147.232,178.379
acorn-ef64,topical_400k_b,topical,400001,0.9695,0.00015,14.320,43.453,61.272
acorn-ef128,topical_400k_b,topical,400001,0.9889,0.00006,25.874,75.678,105.641
acorn-ef256,topical_400k_b,topical,400001,0.9956,0.00003,46.905,125.957,166.374
acorn-ef512,topical_400k_b,topical,400001,0.9980,0.00001,86.717,219.660,272.001
acorn-ef64,topical_40k_a,topical,40006,0.9733,0.00011,149.214,358.838,454.284
acorn-ef128,topical_40k_a,topical,40006,0.9935,0.00003,237.160,543.365,703.282
acorn-ef256,topical_40k_a,topical,40006,0.9985,0.00001,415.060,877.296,1264.402
acorn-ef512,topical_40k_a,topical,40006,0.9997,0.00000,720.701,1416.271,1859.868
acorn-ef64,topical_40k_b,topical,40004,0.9769,0.00010,130.082,317.329,434.814
acorn-ef128,topical_40k_b,topical,40004,0.9936,0.00004,250.254,579.549,740.925
acorn-ef256,topical_40k_b,topical,40004,0.9980,0.00002,429.780,969.408,1308.312
acorn-ef512,topical_40k_b,topical,40004,0.9996,0.00000,695.102,1387.694,1664.018
acorn-ef64,topical_5m_a,topical,5000022,0.9654,0.00030,1.474,2.671,3.737
acorn-ef128,topical_5m_a,topical,5000022,0.9800,0.00019,2.152,3.971,5.812
acorn-ef256,topical_5m_a,topical,5000022,0.9888,0.00011,3.572,6.354,9.218
acorn-ef512,topical_5m_a,topical,5000022,0.9932,0.00007,6.580,11.502,17.569
acorn-ef64,topical_5m_b,topical,5000010,0.9621,0.00030,1.209,2.380,3.337
acorn-ef128,topical_5m_b,topical,5000010,0.9794,0.00019,1.969,3.948,6.436
acorn-ef256,topical_5m_b,topical,5000010,0.9898,0.00010,3.154,6.230,10.053
acorn-ef512,topical_5m_b,topical,5000010,0.9938,0.00007,5.628,9.828,16.645
acorn-ef64,anticorr_q0041_tau0,anticorr,9900000,0.0000,0.00032,59.894,59.894,59.894
acorn-ef128,anticorr_q0041_tau0,anticorr,9900000,0.1000,0.00010,65.909,65.909,65.909
acorn-ef256,anticorr_q0041_tau0,anticorr,9900000,0.1000,0.00005,79.513,79.513,79.513
acorn-ef512,anticorr_q0041_tau0,anticorr,9900000,0.1000,0.00003,104.750,104.750,104.750
acorn-ef64,anticorr_q0041_tau0.01,anticorr,9900239,0.6000,0.00170,14.457,14.457,14.457
acorn-ef128,anticorr_q0041_tau0.01,anticorr,9900239,1.0000,0.00000,15.630,15.630,15.630
acorn-ef256,anticorr_q0041_tau0.01,anticorr,9900239,1.0000,0.00000,21.043,21.043,21.043
acorn-ef512,anticorr_q0041_tau0.01,anticorr,9900239,1.0000,0.00000,28.815,28.815,28.815
acorn-ef64,anticorr_q0041_tau0.03,anticorr,9900507,1.0000,0.00000,3.073,3.073,3.073
acorn-ef128,anticorr_q0041_tau0.03,anticorr,9900507,1.0000,0.00000,1.474,1.474,1.474
acorn-ef256,anticorr_q0041_tau0.03,anticorr,9900507,1.0000,0.00000,2.199,2.199,2.199
acorn-ef512,anticorr_q0041_tau0.03,anticorr,9900507,1.0000,0.00000,4.606,4.606,4.606
acorn-ef64,anticorr_q0059_tau0,anticorr,9900000,0.0000,0.00021,60.388,60.388,60.388
acorn-ef128,anticorr_q0059_tau0,anticorr,9900000,0.0000,0.00013,65.734,65.734,65.734
acorn-ef256,anticorr_q0059_tau0,anticorr,9900000,0.0000,0.00010,76.758,76.758,76.758
acorn-ef512,anticorr_q0059_tau0,anticorr,9900000,0.1000,0.00003,91.684,91.684,91.684
acorn-ef64,anticorr_q0059_tau0.01,anticorr,9899959,0.8000,0.00034,14.417,14.417,14.417
acorn-ef128,anticorr_q0059_tau0.01,anticorr,9899959,1.0000,0.00000,15.029,15.029,15.029
acorn-ef256,anticorr_q0059_tau0.01,anticorr,9899959,1.0000,0.00000,21.096,21.096,21.096
acorn-ef512,anticorr_q0059_tau0.01,anticorr,9899959,1.0000,0.00000,29.443,29.443,29.443
acorn-ef64,anticorr_q0059_tau0.03,anticorr,9899896,1.0000,0.00000,2.401,2.401,2.401
acorn-ef128,anticorr_q0059_tau0.03,anticorr,9899896,1.0000,0.00000,1.926,1.926,1.926
acorn-ef256,anticorr_q0059_tau0.03,anticorr,9899896,1.0000,0.00000,2.466,2.466,2.466
acorn-ef512,anticorr_q0059_tau0.03,anticorr,9899896,1.0000,0.00000,4.764,4.764,4.764
acorn-ef64,anticorr_q0064_tau0,anticorr,9900000,0.0000,0.00024,78.575,78.575,78.575
acorn-ef128,anticorr_q0064_tau0,anticorr,9900000,0.0000,0.00014,88.000,88.000,88.000
acorn-ef256,anticorr_q0064_tau0,anticorr,9900000,0.0000,0.00005,100.243,100.243,100.243
acorn-ef512,anticorr_q0064_tau0,anticorr,9900000,0.0000,0.00003,112.688,112.688,112.688
acorn-ef64,anticorr_q0064_tau0.01,anticorr,9900317,0.9000,0.00001,18.314,18.314,18.314
acorn-ef128,anticorr_q0064_tau0.01,anticorr,9900317,0.9000,0.00001,22.449,22.449,22.449
acorn-ef256,anticorr_q0064_tau0.01,anticorr,9900317,1.0000,0.00000,30.147,30.147,30.147
acorn-ef512,anticorr_q0064_tau0.01,anticorr,9900317,1.0000,0.00000,37.258,37.258,37.258
acorn-ef64,anticorr_q0064_tau0.03,anticorr,9899835,1.0000,0.00000,2.740,2.740,2.740
acorn-ef128,anticorr_q0064_tau0.03,anticorr,9899835,1.0000,0.00000,1.680,1.680,1.680
acorn-ef256,anticorr_q0064_tau0.03,anticorr,9899835,1.0000,0.00000,2.693,2.693,2.693
acorn-ef512,anticorr_q0064_tau0.03,anticorr,9899835,1.0000,0.00000,4.375,4.375,4.375
acorn-ef64,anticorr_q0073_tau0,anticorr,9900001,0.0000,0.00037,68.621,68.621,68.621
acorn-ef128,anticorr_q0073_tau0,anticorr,9900001,0.0000,0.00019,75.198,75.198,75.198
acorn-ef256,anticorr_q0073_tau0,anticorr,9900001,0.0000,0.00006,83.841,83.841,83.841
acorn-ef512,anticorr_q0073_tau0,anticorr,9900001,0.0000,0.00004,97.734,97.734,97.734
acorn-ef64,anticorr_q0073_tau0.01,anticorr,9899943,0.6000,0.00265,17.558,17.558,17.558
acorn-ef128,anticorr_q0073_tau0.01,anticorr,9899943,0.9000,0.00006,18.559,18.559,18.559
acorn-ef256,anticorr_q0073_tau0.01,anticorr,9899943,0.9000,0.00006,23.693,23.693,23.693
acorn-ef512,anticorr_q0073_tau0.01,anticorr,9899943,0.9000,0.00006,32.886,32.886,32.886
acorn-ef64,anticorr_q0073_tau0.03,anticorr,9899919,1.0000,0.00000,2.506,2.506,2.506
acorn-ef128,anticorr_q0073_tau0.03,anticorr,9899919,1.0000,0.00000,1.609,1.609,1.609
acorn-ef256,anticorr_q0073_tau0.03,anticorr,9899919,1.0000,0.00000,2.735,2.735,2.735
acorn-ef512,anticorr_q0073_tau0.03,anticorr,9899919,1.0000,0.00000,4.430,4.430,4.430
acorn-ef64,anticorr_q0077_tau0,anticorr,9900000,0.0000,0.00018,57.595,57.595,57.595
acorn-ef128,anticorr_q0077_tau0,anticorr,9900000,0.0000,0.00012,65.938,65.938,65.938
acorn-ef256,anticorr_q0077_tau0,anticorr,9900000,0.0000,0.00005,80.252,80.252,80.252
acorn-ef512,anticorr_q0077_tau0,anticorr,9900000,0.0000,0.00003,100.722,100.722,100.722
acorn-ef64,anticorr_q0077_tau0.01,anticorr,9899838,0.7000,0.00145,10.320,10.320,10.320
acorn-ef128,anticorr_q0077_tau0.01,anticorr,9899838,0.7000,0.00126,9.978,9.978,9.978
acorn-ef256,anticorr_q0077_tau0.01,anticorr,9899838,0.9000,0.00023,15.144,15.144,15.144
acorn-ef512,anticorr_q0077_tau0.01,anticorr,9899838,0.9000,0.00023,24.606,24.606,24.606
acorn-ef64,anticorr_q0077_tau0.03,anticorr,9900809,1.0000,0.00000,1.926,1.926,1.926
acorn-ef128,anticorr_q0077_tau0.03,anticorr,9900809,1.0000,0.00000,1.940,1.940,1.940
acorn-ef256,anticorr_q0077_tau0.03,anticorr,9900809,1.0000,0.00000,2.822,2.822,2.822
acorn-ef512,anticorr_q0077_tau0.03,anticorr,9900809,1.0000,0.00000,4.952,4.952,4.952
acorn-ef64,anticorr_q0080_tau0,anticorr,9900000,0.0000,0.00025,68.430,68.430,68.430
acorn-ef128,anticorr_q0080_tau0,anticorr,9900000,0.0000,0.00016,75.818,75.818,75.818
acorn-ef256,anticorr_q0080_tau0,anticorr,9900000,0.0000,0.00006,85.262,85.262,85.262
acorn-ef512,anticorr_q0080_tau0,anticorr,9900000,0.0000,0.00003,98.491,98.491,98.491
acorn-ef64,anticorr_q0080_tau0.01,anticorr,9900207,0.9000,0.00005,16.134,16.134,16.134
acorn-ef128,anticorr_q0080_tau0.01,anticorr,9900207,1.0000,0.00000,18.701,18.701,18.701
acorn-ef256,anticorr_q0080_tau0.01,anticorr,9900207,1.0000,0.00000,27.406,27.406,27.406
acorn-ef512,anticorr_q0080_tau0.01,anticorr,9900207,1.0000,0.00000,36.016,36.016,36.016
acorn-ef64,anticorr_q0080_tau0.03,anticorr,9899376,1.0000,0.00000,3.043,3.043,3.043
acorn-ef128,anticorr_q0080_tau0.03,anticorr,9899376,1.0000,0.00000,2.461,2.461,2.461
acorn-ef256,anticorr_q0080_tau0.03,anticorr,9899376,1.0000,0.00000,3.037,3.037,3.037
acorn-ef512,anticorr_q0080_tau0.03,anticorr,9899376,1.0000,0.00000,4.997,4.997,4.997
acorn-ef64,anticorr_q0085_tau0,anticorr,9900000,0.0000,0.00018,75.561,75.561,75.561
acorn-ef128,anticorr_q0085_tau0,anticorr,9900000,0.1000,0.00011,82.059,82.059,82.059
acorn-ef256,anticorr_q0085_tau0,anticorr,9900000,0.1000,0.00005,95.348,95.348,95.348
acorn-ef512,anticorr_q0085_tau0,anticorr,9900000,0.1000,0.00004,114.349,114.349,114.349
acorn-ef64,anticorr_q0085_tau0.01,anticorr,9899881,0.7000,0.00038,14.820,14.820,14.820
acorn-ef128,anticorr_q0085_tau0.01,anticorr,9899881,0.7000,0.00038,15.838,15.838,15.838
acorn-ef256,anticorr_q0085_tau0.01,anticorr,9899881,1.0000,0.00000,21.674,21.674,21.674
acorn-ef512,anticorr_q0085_tau0.01,anticorr,9899881,1.0000,0.00000,32.303,32.303,32.303
acorn-ef64,anticorr_q0085_tau0.03,anticorr,9899588,1.0000,0.00000,2.707,2.707,2.707
acorn-ef128,anticorr_q0085_tau0.03,anticorr,9899588,1.0000,0.00000,1.874,1.874,1.874
acorn-ef256,anticorr_q0085_tau0.03,anticorr,9899588,1.0000,0.00000,2.785,2.785,2.785
acorn-ef512,anticorr_q0085_tau0.03,anticorr,9899588,1.0000,0.00000,4.655,4.655,4.655
acorn-ef64,anticorr_q0095_tau0,anticorr,9900001,0.0000,0.00041,55.900,55.900,55.900
acorn-ef128,anticorr_q0095_tau0,anticorr,9900001,0.0000,0.00027,71.216,71.216,71.216
acorn-ef256,anticorr_q0095_tau0,anticorr,9900001,0.0000,0.00008,71.378,71.378,71.378
acorn-ef512,anticorr_q0095_tau0,anticorr,9900001,0.1000,0.00004,87.965,87.965,87.965
acorn-ef64,anticorr_q0095_tau0.01,anticorr,9899707,0.7000,0.00112,7.278,7.278,7.278
acorn-ef128,anticorr_q0095_tau0.01,anticorr,9899707,0.8000,0.00051,6.851,6.851,6.851
acorn-ef256,anticorr_q0095_tau0.01,anticorr,9899707,0.8000,0.00011,11.517,11.517,11.517
acorn-ef512,anticorr_q0095_tau0.01,anticorr,9899707,0.8000,0.00011,18.294,18.294,18.294
acorn-ef64,anticorr_q0095_tau0.03,anticorr,9899770,0.9000,0.00163,2.558,2.558,2.558
acorn-ef128,anticorr_q0095_tau0.03,anticorr,9899770,0.9000,0.00163,1.756,1.756,1.756
acorn-ef256,anticorr_q0095_tau0.03,anticorr,9899770,1.0000,0.00000,2.279,2.279,2.279
acorn-ef512,anticorr_q0095_tau0.03,anticorr,9899770,1.0000,0.00000,4.565,4.565,4.565
acorn-ef64,anticorr_q0117_tau0,anticorr,9900000,0.0000,0.00051,71.603,71.603,71.603
acorn-ef128,anticorr_q0117_tau0,anticorr,9900000,0.0000,0.00014,75.640,75.640,75.640
acorn-ef256,anticorr_q0117_tau0,anticorr,9900000,0.0000,0.00008,89.001,89.001,89.001
acorn-ef512,anticorr_q0117_tau0,anticorr,9900000,0.0000,0.00003,102.583,102.583,102.583
acorn-ef64,anticorr_q0117_tau0.01,anticorr,9900126,0.8000,0.00078,10.436,10.436,10.436
acorn-ef128,anticorr_q0117_tau0.01,anticorr,9900126,1.0000,0.00000,11.165,11.165,11.165
acorn-ef256,anticorr_q0117_tau0.01,anticorr,9900126,1.0000,0.00000,15.995,15.995,15.995
acorn-ef512,anticorr_q0117_tau0.01,anticorr,9900126,1.0000,0.00000,24.899,24.899,24.899
acorn-ef64,anticorr_q0117_tau0.03,anticorr,9900642,1.0000,0.00000,2.426,2.426,2.426
acorn-ef128,anticorr_q0117_tau0.03,anticorr,9900642,1.0000,0.00000,1.537,1.537,1.537
acorn-ef256,anticorr_q0117_tau0.03,anticorr,9900642,1.0000,0.00000,2.472,2.472,2.472
acorn-ef512,anticorr_q0117_tau0.03,anticorr,9900642,1.0000,0.00000,4.252,4.252,4.252
acorn-ef64,anticorr_q0126_tau0,anticorr,9900000,0.0000,0.00046,69.249,69.249,69.249
acorn-ef128,anticorr_q0126_tau0,anticorr,9900000,0.0000,0.00024,77.724,77.724,77.724
acorn-ef256,anticorr_q0126_tau0,anticorr,9900000,0.0000,0.00012,131.823,131.823,131.823
acorn-ef512,anticorr_q0126_tau0,anticorr,9900000,0.0000,0.00008,95.474,95.474,95.474
acorn-ef64,anticorr_q0126_tau0.01,anticorr,9900093,0.9000,0.00008,12.920,12.920,12.920
acorn-ef128,anticorr_q0126_tau0.01,anticorr,9900093,0.9000,0.00008,13.038,13.038,13.038
acorn-ef256,anticorr_q0126_tau0.01,anticorr,9900093,0.9000,0.00008,18.215,18.215,18.215
acorn-ef512,anticorr_q0126_tau0.01,anticorr,9900093,1.0000,0.00000,27.665,27.665,27.665
acorn-ef64,anticorr_q0126_tau0.03,anticorr,9900093,1.0000,0.00000,2.568,2.568,2.568
acorn-ef128,anticorr_q0126_tau0.03,anticorr,9900093,1.0000,0.00000,2.153,2.153,2.153
acorn-ef256,anticorr_q0126_tau0.03,anticorr,9900093,1.0000,0.00000,2.770,2.770,2.770
acorn-ef512,anticorr_q0126_tau0.03,anticorr,9900093,1.0000,0.00000,4.341,4.341,4.341
acorn-ef64,anticorr_q0139_tau0,anticorr,9900000,0.0000,0.00022,74.467,74.467,74.467
acorn-ef128,anticorr_q0139_tau0,anticorr,9900000,0.0000,0.00013,78.680,78.680,78.680
acorn-ef256,anticorr_q0139_tau0,anticorr,9900000,0.0000,0.00010,86.852,86.852,86.852
acorn-ef512,anticorr_q0139_tau0,anticorr,9900000,0.1000,0.00003,100.718,100.718,100.718
acorn-ef64,anticorr_q0139_tau0.01,anticorr,9900294,0.9000,0.00009,14.117,14.117,14.117
acorn-ef128,anticorr_q0139_tau0.01,anticorr,9900294,0.9000,0.00009,15.144,15.144,15.144
acorn-ef256,anticorr_q0139_tau0.01,anticorr,9900294,0.9000,0.00009,19.465,19.465,19.465
acorn-ef512,anticorr_q0139_tau0.01,anticorr,9900294,0.9000,0.00009,27.961,27.961,27.961
acorn-ef64,anticorr_q0139_tau0.03,anticorr,9900438,0.9000,0.00005,2.330,2.330,2.330
acorn-ef128,anticorr_q0139_tau0.03,anticorr,9900438,1.0000,0.00000,1.450,1.450,1.450
acorn-ef256,anticorr_q0139_tau0.03,anticorr,9900438,1.0000,0.00000,2.341,2.341,2.341
acorn-ef512,anticorr_q0139_tau0.03,anticorr,9900438,1.0000,0.00000,4.022,4.022,4.022
acorn-ef64,anticorr_q0147_tau0,anticorr,9900000,0.0000,0.00032,57.220,57.220,57.220
acorn-ef128,anticorr_q0147_tau0,anticorr,9900000,0.0000,0.00017,67.731,67.731,67.731
acorn-ef256,anticorr_q0147_tau0,anticorr,9900000,0.0000,0.00008,75.506,75.506,75.506
acorn-ef512,anticorr_q0147_tau0,anticorr,9900000,0.0000,0.00003,89.171,89.171,89.171
