filter,family,size,queries,recall_at_10,perfect_frac,p50_ms,p95_ms,p99_ms,allow_iter_p50_ms,stage1_p50_ms,stage2_p50_ms,stage3_p50_ms,stage1_mb_per_q,stage2_kb_per_q,stage3_kb_per_q
anticorr_q0506_tau0.03,anticorr,9899983,1,1.0000,1.0000,301.831,301.831,301.831,62.957,230.736,1.886,6.252,604.25,512.0,2100.0
anticorr_q0517_tau0,anticorr,9900000,1,0.0000,0.0000,316.237,316.237,316.237,62.907,230.083,1.903,21.344,604.25,512.0,2100.0
anticorr_q0517_tau0.01,anticorr,9900123,1,0.6000,0.0000,307.595,307.595,307.595,62.783,228.095,1.976,14.741,604.26,512.0,2100.0
anticorr_q0517_tau0.03,anticorr,9899832,1,1.0000,1.0000,299.564,299.564,299.564,62.688,229.036,1.800,6.039,604.24,512.0,2100.0
anticorr_q0523_tau0,anticorr,9900000,1,0.0000,0.0000,317.784,317.784,317.784,62.641,228.923,1.890,24.330,604.25,512.0,2100.0
anticorr_q0523_tau0.01,anticorr,9899484,1,1.0000,1.0000,325.062,325.062,325.062,62.890,232.331,1.990,27.852,604.22,512.0,2100.0
anticorr_q0523_tau0.03,anticorr,9899888,1,1.0000,1.0000,361.126,361.126,361.126,69.680,287.766,1.691,1.991,604.24,512.0,2100.0
anticorr_q0552_tau0,anticorr,9900001,1,0.1000,0.0000,377.077,377.077,377.077,72.224,278.817,2.051,23.985,604.25,512.0,2100.0
anticorr_q0552_tau0.01,anticorr,9899888,1,0.8000,0.0000,410.517,410.517,410.517,72.441,321.868,1.998,14.211,604.24,512.0,2100.0
anticorr_q0552_tau0.03,anticorr,9899649,1,1.0000,1.0000,360.078,360.078,360.078,86.423,266.730,1.892,5.033,604.23,512.0,2100.0
anticorr_q0591_tau0,anticorr,9900000,1,0.0000,0.0000,380.534,380.534,380.534,80.426,272.580,2.088,25.440,604.25,512.0,2100.0
anticorr_q0591_tau0.01,anticorr,9900154,1,0.7000,0.0000,344.101,344.101,344.101,66.039,258.534,2.008,17.520,604.26,512.0,2100.0
anticorr_q0591_tau0.03,anticorr,9900140,1,1.0000,1.0000,393.255,393.255,393.255,79.319,306.266,1.795,5.875,604.26,512.0,2100.0
anticorr_q0593_tau0,anticorr,9900000,1,0.1000,0.0000,397.669,397.669,397.669,66.739,312.466,1.978,16.485,604.25,512.0,2100.0
anticorr_q0593_tau0.01,anticorr,9900414,1,0.8000,0.0000,383.508,383.508,383.508,77.428,291.952,1.804,12.324,604.27,512.0,2100.0
anticorr_q0593_tau0.03,anticorr,9900005,1,1.0000,1.0000,405.307,405.307,405.307,87.725,312.281,1.779,3.523,604.25,512.0,2100.0
anticorr_q0596_tau0,anticorr,9900000,1,0.0000,0.0000,366.506,366.506,366.506,77.086,268.850,1.856,18.713,604.25,512.0,2100.0
anticorr_q0596_tau0.01,anticorr,9900518,1,0.8000,0.0000,367.227,367.227,367.227,95.102,256.942,1.965,13.217,604.28,512.0,2100.0
anticorr_q0596_tau0.03,anticorr,9900472,1,1.0000,1.0000,381.328,381.328,381.328,70.111,304.851,1.986,4.381,604.28,512.0,2100.0
anticorr_q0620_tau0,anticorr,9900002,1,0.0000,0.0000,481.115,481.115,481.115,75.387,360.972,2.030,42.725,604.25,512.0,2100.0
anticorr_q0620_tau0.01,anticorr,9899856,1,0.8000,0.0000,363.347,363.347,363.347,74.151,265.787,1.914,21.494,604.24,512.0,2100.0
anticorr_q0620_tau0.03,anticorr,9899741,1,1.0000,1.0000,381.128,381.128,381.128,68.678,305.030,1.840,5.580,604.23,512.0,2100.0
anticorr_q0633_tau0,anticorr,9900000,1,0.0000,0.0000,359.981,359.981,359.981,83.562,252.655,1.953,21.810,604.25,512.0,2100.0
anticorr_q0633_tau0.01,anticorr,9899936,1,0.7000,0.0000,364.183,364.183,364.183,67.592,280.769,1.922,13.900,604.24,512.0,2100.0
anticorr_q0633_tau0.03,anticorr,9899322,1,1.0000,1.0000,362.195,362.195,362.195,73.004,282.354,1.869,4.967,604.21,512.0,2100.0
anticorr_q0636_tau0,anticorr,9900000,1,0.0000,0.0000,387.006,387.006,387.006,73.702,275.324,2.029,35.950,604.25,512.0,2100.0
anticorr_q0636_tau0.01,anticorr,9900445,1,0.8000,0.0000,404.630,404.630,404.630,92.373,287.115,1.980,23.162,604.28,512.0,2100.0
anticorr_q0636_tau0.03,anticorr,9900840,1,1.0000,1.0000,395.288,395.288,395.288,74.901,312.292,1.805,6.290,604.30,512.0,2100.0
anticorr_q0643_tau0,anticorr,9900000,1,0.0000,0.0000,430.577,430.577,430.577,93.134,309.408,1.938,26.096,604.25,512.0,2100.0
anticorr_q0643_tau0.01,anticorr,9899589,1,0.6000,0.0000,368.181,368.181,368.181,79.919,267.095,2.076,19.092,604.22,512.0,2100.0
anticorr_q0643_tau0.03,anticorr,9899489,1,1.0000,1.0000,345.125,345.125,345.125,70.626,259.868,1.844,12.787,604.22,512.0,2100.0
anticorr_q0655_tau0,anticorr,9900000,1,0.0000,0.0000,385.614,385.614,385.614,72.949,279.871,2.114,30.680,604.25,512.0,2100.0
anticorr_q0655_tau0.01,anticorr,9899936,1,0.9000,0.0000,405.706,405.706,405.706,90.072,285.563,1.981,28.090,604.24,512.0,2100.0
anticorr_q0655_tau0.03,anticorr,9900416,1,1.0000,1.0000,390.728,390.728,390.728,65.775,308.556,1.823,14.574,604.27,512.0,2100.0
anticorr_q0656_tau0,anticorr,9900001,1,0.1000,0.0000,388.857,388.857,388.857,80.005,278.925,2.040,27.887,604.25,512.0,2100.0
anticorr_q0656_tau0.01,anticorr,9899725,1,0.8000,0.0000,403.380,403.380,403.380,68.442,313.979,1.953,19.006,604.23,512.0,2100.0
anticorr_q0656_tau0.03,anticorr,9900557,1,1.0000,1.0000,398.665,398.665,398.665,68.216,313.289,1.898,15.263,604.28,512.0,2100.0
anticorr_q0660_tau0,anticorr,9900000,1,0.0000,0.0000,444.815,444.815,444.815,91.280,322.938,1.988,28.609,604.25,512.0,2100.0
anticorr_q0660_tau0.01,anticorr,9899848,1,0.6000,0.0000,422.693,422.693,422.693,72.832,319.714,2.227,27.921,604.24,512.0,2100.0
anticorr_q0660_tau0.03,anticorr,9899835,1,0.9000,0.0000,376.032,376.032,376.032,81.146,282.210,1.859,10.818,604.24,512.0,2100.0
anticorr_q0669_tau0,anticorr,9900000,1,0.0000,0.0000,430.759,430.759,430.759,79.032,323.585,2.236,25.905,604.25,512.0,2100.0
anticorr_q0669_tau0.01,anticorr,9900129,1,0.9000,0.0000,402.239,402.239,402.239,82.446,285.235,2.094,32.464,604.26,512.0,2100.0
anticorr_q0669_tau0.03,anticorr,9900060,1,1.0000,1.0000,392.407,392.407,392.407,87.997,285.232,1.950,17.229,604.25,512.0,2100.0
anticorr_q0671_tau0,anticorr,9900000,1,0.0000,0.0000,420.393,420.393,420.393,72.215,322.367,2.064,23.746,604.25,512.0,2100.0
anticorr_q0671_tau0.01,anticorr,9899767,1,0.5000,0.0000,421.107,421.107,421.107,75.510,319.393,1.916,24.289,604.23,512.0,2100.0
anticorr_q0671_tau0.03,anticorr,9900017,1,1.0000,1.0000,367.168,367.168,367.168,74.416,275.014,1.754,15.985,604.25,512.0,2100.0
anticorr_q0681_tau0,anticorr,9900000,1,0.0000,0.0000,414.392,414.392,414.392,67.383,316.764,1.873,28.372,604.25,512.0,2100.0
anticorr_q0681_tau0.01,anticorr,9900094,1,0.5000,0.0000,461.833,461.833,461.833,71.059,361.603,2.038,27.133,604.25,512.0,2100.0
anticorr_q0681_tau0.03,anticorr,9899861,1,1.0000,1.0000,439.090,439.090,439.090,75.961,340.665,1.692,20.772,604.24,512.0,2100.0
anticorr_q0690_tau0,anticorr,9900001,1,0.0000,0.0000,381.917,381.917,381.917,73.734,277.463,2.014,28.707,604.25,512.0,2100.0
anticorr_q0690_tau0.01,anticorr,9899876,1,0.8000,0.0000,393.173,393.173,393.173,68.816,295.680,2.048,26.628,604.24,512.0,2100.0
anticorr_q0690_tau0.03,anticorr,9899901,1,1.0000,1.0000,376.895,376.895,376.895,81.696,265.391,1.748,28.059,604.24,512.0,2100.0
anticorr_q0695_tau0,anticorr,9900000,1,0.0000,0.0000,419.425,419.425,419.425,77.334,311.748,1.943,28.400,604.25,512.0,2100.0
anticorr_q0695_tau0.01,anticorr,9899936,1,1.0000,1.0000,398.579,398.579,398.579,77.004,294.236,2.003,25.336,604.24,512.0,2100.0
anticorr_q0695_tau0.03,anticorr,9899734,1,1.0000,1.0000,379.198,379.198,379.198,70.539,285.127,1.814,21.719,604.23,512.0,2100.0
anticorr_q0698_tau0,anticorr,9900001,1,0.0000,0.0000,409.093,409.093,409.093,75.790,304.509,2.189,26.606,604.25,512.0,2100.0
anticorr_q0698_tau0.01,anticorr,9899936,1,0.8000,0.0000,403.095,403.095,403.095,80.285,293.954,2.254,26.603,604.24,512.0,2100.0
anticorr_q0698_tau0.03,anticorr,9900691,1,1.0000,1.0000,431.878,431.878,431.878,77.067,337.660,1.998,15.154,604.29,512.0,2100.0
anticorr_q0712_tau0,anticorr,9900000,1,0.0000,0.0000,483.525,483.525,483.525,80.737,373.391,2.004,27.393,604.25,512.0,2100.0
anticorr_q0712_tau0.01,anticorr,9899910,1,0.5000,0.0000,378.896,378.896,378.896,74.348,272.719,2.055,29.774,604.24,512.0,2100.0
anticorr_q0712_tau0.03,anticorr,9900215,1,0.9000,0.0000,355.723,355.723,355.723,70.735,258.961,1.963,24.063,604.26,512.0,2100.0
anticorr_q0714_tau0,anticorr,9900000,1,0.0000,0.0000,420.402,420.402,420.402,90.299,296.735,2.032,31.336,604.25,512.0,2100.0
anticorr_q0714_tau0.01,anticorr,9900125,1,0.6000,0.0000,369.222,369.222,369.222,68.927,269.365,1.972,28.958,604.26,512.0,2100.0
anticorr_q0714_tau0.03,anticorr,9899674,1,1.0000,1.0000,402.503,402.503,402.503,78.999,296.820,1.936,24.747,604.23,512.0,2100.0
anticorr_q0716_tau0,anticorr,9900000,1,0.1000,0.0000,404.976,404.976,404.976,79.257,295.248,2.013,28.457,604.25,512.0,2100.0
anticorr_q0716_tau0.01,anticorr,9900123,1,0.9000,0.0000,426.613,426.613,426.613,74.263,320.994,2.104,29.251,604.26,512.0,2100.0
anticorr_q0716_tau0.03,anticorr,9899962,1,1.0000,1.0000,393.810,393.810,393.810,75.282,287.283,1.940,29.303,604.25,512.0,2100.0
anticorr_q0720_tau0,anticorr,9900000,1,0.1000,0.0000,435.638,435.638,435.638,84.320,316.643,1.927,32.748,604.25,512.0,2100.0
anticorr_q0720_tau0.01,anticorr,9899905,1,0.4000,0.0000,435.342,435.342,435.342,72.843,330.140,2.042,30.317,604.24,512.0,2100.0
anticorr_q0720_tau0.03,anticorr,9900468,1,1.0000,1.0000,386.243,386.243,386.243,67.405,286.260,1.896,30.682,604.28,512.0,2100.0
anticorr_q0722_tau0,anticorr,9900000,1,0.0000,0.0000,424.257,424.257,424.257,71.578,321.800,1.871,29.008,604.25,512.0,2100.0
anticorr_q0722_tau0.01,anticorr,9899927,1,0.7000,0.0000,422.945,422.945,422.945,82.244,306.456,1.907,32.337,604.24,512.0,2100.0
anticorr_q0722_tau0.03,anticorr,9899753,1,1.0000,1.0000,448.769,448.769,448.769,76.062,350.056,1.661,20.990,604.23,512.0,2100.0
anticorr_q0739_tau0,anticorr,9900000,1,0.0000,0.0000,418.094,418.094,418.094,88.570,294.430,2.025,33.069,604.25,512.0,2100.0
anticorr_q0739_tau0.01,anticorr,9900332,1,0.8000,0.0000,416.645,416.645,416.645,75.871,306.617,2.059,32.098,604.27,512.0,2100.0
anticorr_q0739_tau0.03,anticorr,9899894,1,1.0000,1.0000,415.104,415.104,415.104,71.005,315.372,1.686,27.041,604.24,512.0,2100.0
anticorr_q0759_tau0,anticorr,9900000,1,0.0000,0.0000,419.153,419.153,419.153,67.190,322.522,2.075,27.367,604.25,512.0,2100.0
anticorr_q0759_tau0.01,anticorr,9900237,1,0.9000,0.0000,449.290,449.290,449.290,71.782,335.232,2.189,40.087,604.26,512.0,2100.0
anticorr_q0759_tau0.03,anticorr,9899764,1,1.0000,1.0000,410.984,410.984,410.984,77.286,302.058,1.949,29.691,604.23,512.0,2100.0
anticorr_q0763_tau0,anticorr,9900001,1,0.0000,0.0000,420.877,420.877,420.877,95.512,293.265,1.907,30.194,604.25,512.0,2100.0
anticorr_q0763_tau0.01,anticorr,9899825,1,0.8000,0.0000,361.664,361.664,361.664,68.881,257.478,2.096,33.210,604.24,512.0,2100.0
anticorr_q0763_tau0.03,anticorr,9899690,1,1.0000,1.0000,401.463,401.463,401.463,76.044,292.335,1.930,31.154,604.23,512.0,2100.0
anticorr_q0771_tau0,anticorr,9900000,1,0.1000,0.0000,425.080,425.080,425.080,70.826,322.394,2.016,29.844,604.25,512.0,2100.0
anticorr_q0771_tau0.01,anticorr,9900307,1,1.0000,1.0000,411.172,411.172,411.172,74.414,305.165,2.003,29.590,604.27,512.0,2100.0
anticorr_q0771_tau0.03,anticorr,9899838,1,1.0000,1.0000,388.520,388.520,388.520,70.414,280.312,1.724,36.069,604.24,512.0,2100.0
anticorr_q0772_tau0,anticorr,9900000,1,0.0000,0.0000,396.690,396.690,396.690,76.082,285.698,1.929,32.982,604.25,512.0,2100.0
anticorr_q0772_tau0.01,anticorr,9899747,1,0.5000,0.0000,408.594,408.594,408.594,85.035,283.659,2.061,37.840,604.23,512.0,2100.0
anticorr_q0772_tau0.03,anticorr,9900116,1,1.0000,1.0000,414.921,414.921,414.921,85.900,294.565,1.876,32.580,604.26,512.0,2100.0
anticorr_q0776_tau0,anticorr,9900000,1,0.1000,0.0000,419.933,419.933,419.933,77.769,305.481,2.079,34.604,604.25,512.0,2100.0
anticorr_q0776_tau0.01,anticorr,9899647,1,0.7000,0.0000,395.094,395.094,395.094,74.042,278.985,2.002,40.065,604.23,512.0,2100.0
anticorr_q0776_tau0.03,anticorr,9899743,1,1.0000,1.0000,417.358,417.358,417.358,73.843,305.701,1.826,35.987,604.23,512.0,2100.0
anticorr_q0777_tau0,anticorr,9900001,1,0.0000,0.0000,377.281,377.281,377.281,72.156,271.107,1.925,32.093,604.25,512.0,2100.0
anticorr_q0777_tau0.01,anticorr,9899827,1,0.7000,0.0000,397.274,397.274,397.274,67.624,279.272,1.927,48.452,604.24,512.0,2100.0
anticorr_q0777_tau0.03,anticorr,9899736,1,1.0000,1.0000,428.546,428.546,428.546,75.789,305.309,1.896,45.551,604.23,512.0,2100.0
anticorr_q0798_tau0,anticorr,9900000,1,0.0000,0.0000,410.409,410.409,410.409,76.031,296.720,1.999,35.659,604.25,512.0,2100.0
anticorr_q0798_tau0.01,anticorr,9899653,1,0.7000,0.0000,414.098,414.098,414.098,81.415,294.329,1.988,36.366,604.23,512.0,2100.0
anticorr_q0798_tau0.03,anticorr,9900398,1,1.0000,1.0000,417.852,417.852,417.852,81.856,298.210,2.100,35.686,604.27,512.0,2100.0
anticorr_q0804_tau0,anticorr,9900000,1,0.0000,0.0000,397.035,397.035,397.035,85.914,276.200,2.152,32.769,604.25,512.0,2100.0
anticorr_q0804_tau0.01,anticorr,9899438,1,0.8000,0.0000,406.339,406.339,406.339,70.352,292.691,1.979,41.316,604.21,512.0,2100.0
anticorr_q0804_tau0.03,anticorr,9900408,1,1.0000,1.0000,424.693,424.693,424.693,72.348,319.474,1.859,31.012,604.27,512.0,2100.0
anticorr_q0819_tau0,anticorr,9900000,1,0.0000,0.0000,438.628,438.628,438.628,84.441,322.154,1.990,30.044,604.25,512.0,2100.0
anticorr_q0819_tau0.01,anticorr,9899730,1,0.3000,0.0000,435.583,435.583,435.583,82.896,307.232,1.950,43.504,604.23,512.0,2100.0
anticorr_q0819_tau0.03,anticorr,9900218,1,1.0000,1.0000,384.090,384.090,384.090,81.228,270.396,1.911,30.554,604.26,512.0,2100.0
anticorr_q0823_tau0,anticorr,9900000,1,0.0000,0.0000,455.494,455.494,455.494,93.958,317.135,2.032,42.368,604.25,512.0,2100.0
anticorr_q0823_tau0.01,anticorr,9899861,1,0.8000,0.0000,462.982,462.982,462.982,91.303,332.414,2.005,37.260,604.24,512.0,2100.0
anticorr_q0823_tau0.03,anticorr,9899875,1,1.0000,1.0000,433.148,433.148,433.148,67.769,324.094,1.925,39.359,604.24,512.0,2100.0
anticorr_q0830_tau0,anticorr,9900000,1,0.0000,0.0000,384.780,384.780,384.780,67.714,284.294,1.968,30.803,604.25,512.0,2100.0
anticorr_q0830_tau0.01,anticorr,9899917,1,0.7000,0.0000,348.276,348.276,348.276,68.218,251.213,2.008,26.838,604.24,512.0,2100.0
anticorr_q0830_tau0.03,anticorr,9899898,1,1.0000,1.0000,413.845,413.845,413.845,69.462,308.674,1.839,33.870,604.24,512.0,2100.0
anticorr_q0835_tau0,anticorr,9900000,1,0.0000,0.0000,422.751,422.751,422.751,69.855,318.120,2.216,32.560,604.25,512.0,2100.0
anticorr_q0835_tau0.01,anticorr,9900310,1,1.0000,1.0000,388.720,388.720,388.720,83.028,275.758,1.952,27.983,604.27,512.0,2100.0
anticorr_q0835_tau0.03,anticorr,9899227,1,1.0000,1.0000,403.965,403.965,403.965,67.995,305.341,2.021,28.608,604.20,512.0,2100.0
anticorr_q0846_tau0,anticorr,9900001,1,0.0000,0.0000,398.424,398.424,398.424,67.627,295.064,2.005,33.728,604.25,512.0,2100.0
anticorr_q0846_tau0.01,anticorr,9899928,1,0.5000,0.0000,432.568,432.568,432.568,71.176,327.961,2.015,31.416,604.24,512.0,2100.0
anticorr_q0846_tau0.03,anticorr,9899958,1,1.0000,1.0000,420.326,420.326,420.326,82.729,315.801,1.933,19.863,604.25,512.0,2100.0
anticorr_q0856_tau0,anticorr,9900000,1,0.0000,0.0000,454.771,454.771,454.771,93.876,319.913,1.998,38.983,604.25,512.0,2100.0
anticorr_q0856_tau0.01,anticorr,9899480,1,0.7000,0.0000,434.361,434.361,434.361,79.091,319.465,2.013,33.793,604.22,512.0,2100.0
anticorr_q0856_tau0.03,anticorr,9900015,1,1.0000,1.0000,418.591,418.591,418.591,78.012,299.745,2.095,38.740,604.25,512.0,2100.0
anticorr_q0875_tau0,anticorr,9900000,1,0.1000,0.0000,420.041,420.041,420.041,86.294,310.958,2.052,20.736,604.25,512.0,2100.0
anticorr_q0875_tau0.01,anticorr,9900450,1,0.6000,0.0000,392.482,392.482,392.482,68.012,297.420,2.053,24.997,604.28,512.0,2100.0
anticorr_q0875_tau0.03,anticorr,9900620,1,1.0000,1.0000,386.571,386.571,386.571,76.256,288.319,1.984,20.012,604.29,512.0,2100.0
anticorr_q0886_tau0,anticorr,9900000,1,0.0000,0.0000,401.088,401.088,401.088,66.994,309.347,2.022,22.724,604.25,512.0,2100.0
anticorr_q0886_tau0.01,anticorr,9900045,1,1.0000,1.0000,394.249,394.249,394.249,86.116,283.804,1.941,22.388,604.25,512.0,2100.0
anticorr_q0886_tau0.03,anticorr,9900285,1,1.0000,1.0000,384.319,384.319,384.319,87.493,281.857,1.791,13.178,604.27,512.0,2100.0
anticorr_q0889_tau0,anticorr,9900002,1,0.0000,0.0000,390.422,390.422,390.422,71.873,289.867,1.888,26.795,604.25,512.0,2100.0
anticorr_q0889_tau0.01,anticorr,9900138,1,0.9000,0.0000,371.221,371.221,371.221,69.416,275.523,1.766,24.515,604.26,512.0,2100.0
anticorr_q0889_tau0.03,anticorr,9899382,1,1.0000,1.0000,402.047,402.047,402.047,72.047,304.114,1.791,24.095,604.21,512.0,2100.0
anticorr_q0893_tau0,anticorr,9900000,1,0.1000,0.0000,425.465,425.465,425.465,70.232,328.275,2.054,24.904,604.25,512.0,2100.0
anticorr_q0893_tau0.01,anticorr,9899771,1,1.0000,1.0000,414.258,414.258,414.258,84.204,305.703,2.018,22.333,604.23,512.0,2100.0
anticorr_q0893_tau0.03,anticorr,9899877,1,1.0000,1.0000,374.228,374.228,374.228,69.343,281.457,1.908,21.519,604.24,512.0,2100.0
anticorr_q0918_tau0,anticorr,9900000,1,0.1000,0.0000,375.587,375.587,375.587,74.310,269.174,1.989,30.114,604.25,512.0,2100.0
anticorr_q0918_tau0.01,anticorr,9900363,1,0.6000,0.0000,436.738,436.738,436.738,68.546,339.920,2.066,26.206,604.27,512.0,2100.0
anticorr_q0918_tau0.03,anticorr,9899758,1,1.0000,1.0000,448.670,448.670,448.670,89.920,330.268,2.134,26.348,604.23,512.0,2100.0
anticorr_q0922_tau0,anticorr,9900000,1,0.0000,0.0000,394.977,394.977,394.977,89.520,283.536,1.987,19.935,604.25,512.0,2100.0
anticorr_q0922_tau0.01,anticorr,9900170,1,0.7000,0.0000,419.972,419.972,419.972,72.637,328.743,2.251,16.341,604.26,512.0,2100.0
anticorr_q0922_tau0.03,anticorr,9900568,1,1.0000,1.0000,391.146,391.146,391.146,87.102,287.724,2.275,14.045,604.28,512.0,2100.0
anticorr_q0932_tau0,anticorr,9900000,1,0.0000,0.0000,380.123,380.123,380.123,85.717,276.439,1.949,16.018,604.25,512.0,2100.0
anticorr_q0932_tau0.01,anticorr,9900067,1,0.7000,0.0000,459.437,459.437,459.437,74.892,359.632,1.975,22.938,604.25,512.0,2100.0
anticorr_q0932_tau0.03,anticorr,9900145,1,1.0000,1.0000,410.325,410.325,410.325,76.391,309.990,1.759,22.185,604.26,512.0,2100.0
anticorr_q0950_tau0,anticorr,9900000,1,0.0000,0.0000,404.372,404.372,404.372,69.675,310.166,2.168,22.363,604.25,512.0,2100.0
anticorr_q0950_tau0.01,anticorr,9899997,1,0.9000,0.0000,393.635,393.635,393.635,82.815,283.138,2.144,25.537,604.25,512.0,2100.0
anticorr_q0950_tau0.03,anticorr,9899843,1,1.0000,1.0000,388.583,388.583,388.583,69.419,301.704,1.782,15.679,604.24,512.0,2100.0
anticorr_q0963_tau0,anticorr,9900001,1,0.0000,0.0000,353.966,353.966,353.966,67.888,261.821,1.923,22.334,604.25,512.0,2100.0
anticorr_q0963_tau0.01,anticorr,9899848,1,0.5000,0.0000,395.391,395.391,395.391,80.407,294.926,2.040,18.018,604.24,512.0,2100.0
anticorr_q0963_tau0.03,anticorr,9900698,1,1.0000,1.0000,391.437,391.437,391.437,67.547,305.774,2.029,16.086,604.29,512.0,2100.0
anticorr_q0964_tau0,anticorr,9900002,1,0.0000,0.0000,417.558,417.558,417.558,92.171,307.301,1.999,16.086,604.25,512.0,2100.0
anticorr_q0964_tau0.01,anticorr,9899817,1,0.8000,0.0000,380.939,380.939,380.939,79.197,285.007,1.958,14.776,604.24,512.0,2100.0
anticorr_q0964_tau0.03,anticorr,9900167,1,1.0000,1.0000,393.167,393.167,393.167,89.100,292.879,1.767,9.421,604.26,512.0,2100.0
anticorr_q0979_tau0,anticorr,9900000,1,0.1000,0.0000,397.982,397.982,397.982,84.933,297.624,1.913,13.512,604.25,512.0,2100.0
anticorr_q0979_tau0.01,anticorr,9899791,1,0.7000,0.0000,449.594,449.594,449.594,80.021,349.588,2.250,17.735,604.24,512.0,2100.0
anticorr_q0979_tau0.03,anticorr,9899513,1,1.0000,1.0000,404.237,404.237,404.237,86.571,297.678,1.898,18.090,604.22,512.0,2100.0
